lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,density_loss_epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_density_loss
3e-05,0,,,,,,,,,,,,,,,,
,9,0.6593348383903503,44.477542877197266,0.6271887421607971,0.012272539548575878,0.039747145026922226,0,,,,,,,,,,
,19,0.5799121260643005,45.23285675048828,0.5511592030525208,0.007060399278998375,0.04338499903678894,0,,,,,,,,,,
,29,0.5847278237342834,45.744346618652344,0.5537452697753906,0.0061925482004880905,0.04957997798919678,0,,,,,,,,,,
,39,0.7124813199043274,50.066993713378906,0.681046724319458,0.005399289075285196,0.05207056552171707,0,,,,,,,,,,
,49,0.682519793510437,46.10944747924805,0.650915265083313,0.006907560862600803,0.04939393326640129,0,,,,,,,,,,
,59,0.7478572130203247,44.25947952270508,0.715814471244812,0.0035854957532137632,0.05691448971629143,0,,,,,,,,,,
,69,0.5833759307861328,42.51778793334961,0.5547577738761902,0.006297634448856115,0.044641051441431046,0,,,,,,,,,,
,79,0.6160447001457214,47.600120544433594,0.5895923972129822,0.006821819581091404,0.039261020720005035,0,,,,,,,,,,
,89,0.8153548836708069,45.76771926879883,0.7888909578323364,0.005879602860659361,0.041168712079524994,0,,,,,,,,,,
,99,0.6518290042877197,42.801414489746094,0.6250903606414795,0.007255862466990948,0.03896558657288551,0,,,,,,,,,,
,109,0.5026741027832031,46.37323760986328,0.4766005575656891,0.010195708833634853,0.03175565227866173,0,,,,,,,,,,
,119,0.5255668759346008,44.13473892211914,0.4951682388782501,0.014211883768439293,0.032373592257499695,0,,,,,,,,,,
,129,0.6754048466682434,44.69453430175781,0.6453549861907959,0.0078067658469080925,0.04448619857430458,0,,,,,,,,,,
,139,0.5890772342681885,46.14665985107422,0.56371009349823,0.005600340198725462,0.0395335890352726,0,,,,,,,,,,
,149,0.8000551462173462,43.99325942993164,0.7666482925415039,0.005928809754550457,0.05495607480406761,0,,,,,,,,,,
,159,0.6690601110458374,46.18789291381836,0.6392795443534851,0.008350114338099957,0.04286091402173042,0,,,,,,,,,,
,169,0.6431127786636353,47.23799133300781,0.6078123450279236,0.012812056578695774,0.04497668147087097,0,,,,,,,,,,
,179,0.5212337970733643,45.58148193359375,0.48931795358657837,0.010553783737123013,0.04272408410906792,0,,,,,,,,,,
,189,0.7243220806121826,44.63457107543945,0.6866806745529175,0.016578441485762596,0.04212592914700508,0,,,,,,,,,,
,199,0.512167751789093,46.69933319091797,0.47961878776550293,0.01262751966714859,0.0398428700864315,0,,,,,,,,,,
,209,0.7376736998558044,45.69186019897461,0.7073761224746704,0.008480146527290344,0.04363483935594559,0,,,,,,,,,,
,219,0.6824883818626404,43.47406768798828,0.654178261756897,0.005928350612521172,0.04476356878876686,0,,,,,,,,,,
,229,0.7756655216217041,46.47663497924805,0.7472367882728577,0.003840299090370536,0.04917679727077484,0,,,,,,,,,,
,239,0.6412338614463806,44.35243606567383,0.6112613081932068,0.004348778165876865,0.051247578114271164,0,,,,,,,,,,
,249,0.6583170890808105,47.2027587890625,0.6252949237823486,0.009414812549948692,0.04721476882696152,0,,,,,,,,,,
,259,0.7894113063812256,46.42531204223633,0.7537857294082642,0.005773618817329407,0.059703949838876724,0,,,,,,,,,,
,269,0.6750019788742065,43.53276824951172,0.6460528373718262,0.004842488095164299,0.0482134073972702,0,,,,,,,,,,
,279,0.681719958782196,43.65293502807617,0.6520035266876221,0.008720380254089832,0.04199206084012985,0,,,,,,,,,,
,289,0.7079448103904724,44.70048904418945,0.6761282682418823,0.0064304484985768795,0.05077223479747772,0,,,,,,,,,,
,299,0.6990987658500671,47.35276412963867,0.6434757709503174,0.03335167095065117,0.04454262554645538,0,,,,,,,,,,
,309,0.8162637948989868,44.66023635864258,0.7843858003616333,0.00545714795589447,0.052841607481241226,0,,,,,,,,,,
,319,0.6204394698143005,42.51292037963867,0.5932360887527466,0.004693407099694014,0.0450199656188488,0,,,,,,,,,,
,329,0.7177740335464478,45.94964599609375,0.6863753199577332,0.005394145846366882,0.05200907588005066,0,,,,,,,,,,
,339,0.7065655589103699,50.39120864868164,0.6734250783920288,0.007496608886867762,0.05128782242536545,0,,,,,,,,,,
,349,0.7565460801124573,42.60811233520508,0.7232535481452942,0.009024334140121937,0.048536404967308044,0,,,,,,,,,,
,359,0.7875048518180847,47.01531219482422,0.7546566128730774,0.0060760146006941795,0.05354444310069084,0,,,,,,,,,,
,369,0.5920913219451904,42.7362174987793,0.5619157552719116,0.006790489889681339,0.04677007719874382,0,,,,,,,,,,
,379,0.7154489755630493,45.32008743286133,0.683672308921814,0.0077627310529351234,0.04802791401743889,0,,,,,,,,,,
,389,0.6007018089294434,48.86962127685547,0.5696121454238892,0.010116426274180412,0.041946470737457275,0,,,,,,,,,,
,399,0.752001166343689,46.719913482666016,0.7205643057823181,0.004519249778240919,0.05383523553609848,0,,,,,,,,,,
,409,0.6166377067565918,44.56660461425781,0.5857735872268677,0.006981996353715658,0.04776429757475853,0,,,,,,,,,,
,419,0.5806629657745361,43.8629264831543,0.5474846363067627,0.012489805929362774,0.04137709364295006,0,,,,,,,,,,
,429,0.587956964969635,44.5557861328125,0.5376178622245789,0.026147684082388878,0.048382896929979324,0,,,,,,,,,,
,439,0.5979416370391846,45.35951614379883,0.5667266249656677,0.008041287772357464,0.04634746164083481,0,,,,,,,,,,
,449,0.6864027380943298,46.28169631958008,0.6559332013130188,0.007175487466156483,0.04658806324005127,0,,,,,,,,,,
,459,0.6242794394493103,46.43922805786133,0.5943999290466309,0.005048994440585375,0.04966099560260773,0,,,,,,,,,,
,469,0.7655683755874634,46.9647102355957,0.7344503998756409,0.005781868472695351,0.05067213624715805,0,,,,,,,,,,
,473,,,,,,0,0.6545519232749939,45.69560241699219,0.6229469776153564,0.008585483767092228,0.04603893682360649,,,,,
2.9999204955799926e-05,474,,,,,,,,,,,,,,,,
,479,0.5913510918617249,43.94501876831055,0.5632816553115845,0.00850712601095438,0.03912462666630745,1,,,,,,,,,,
,489,0.5656834840774536,48.38706588745117,0.5358780026435852,0.007407253608107567,0.044796500355005264,1,,,,,,,,,,
,499,0.6746430993080139,43.55116271972656,0.6386010050773621,0.013039819896221161,0.04600450024008751,1,,,,,,,,,,
,509,0.7215105891227722,43.94419479370117,0.6870777606964111,0.006347406189888716,0.056170832365751266,1,,,,,,,,,,
,519,0.7610885500907898,46.986820220947266,0.7283416986465454,0.004744670353829861,0.05600440874695778,1,,,,,,,,,,
,529,0.6106653213500977,44.94063186645508,0.5816138386726379,0.006951067131012678,0.044200748205184937,1,,,,,,,,,,
,539,0.6876915097236633,43.5150146484375,0.6565999984741211,0.006884121336042881,0.048414863646030426,1,,,,,,,,,,
,549,0.5596663355827332,44.93046951293945,0.5261551141738892,0.010330691933631897,0.0463610514998436,1,,,,,,,,,,
,559,0.6722696423530579,47.31881332397461,0.6440464854240417,0.004380879458039999,0.04768458381295204,1,,,,,,,,,,
,569,0.6501466631889343,42.9006462097168,0.6075085401535034,0.017804665490984917,0.049666840583086014,1,,,,,,,,,,
