lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch
0.0001,9,,,,
,9,14.654924392700195,13.767441749572754,0.8874828815460205,0
0.0001,19,,,,
,19,10.490718841552734,9.664020538330078,0.8266981840133667,0
0.0001,29,,,,
,29,17.740550994873047,16.819862365722656,0.9206876754760742,0
0.0001,39,,,,
,39,3.7507026195526123,2.997967481613159,0.7527351975440979,0
0.0001,49,,,,
,49,3.0860257148742676,2.293915271759033,0.7921104431152344,0
0.0001,59,,,,
,59,3.227250099182129,2.399350166320801,0.8279000520706177,0
0.0001,69,,,,
,69,2.399834156036377,1.6434681415557861,0.7563658952713013,0
0.0001,79,,,,
,79,2.0960230827331543,1.3486969470977783,0.7473261952400208,0
0.0001,89,,,,
,89,2.049700975418091,1.236051321029663,0.813649594783783,0
0.0001,99,,,,
,99,2.142455816268921,1.318181037902832,0.8242748379707336,0
0.0001,109,,,,
,109,2.8567495346069336,2.1597466468811035,0.6970028281211853,0
0.0001,119,,,,
,119,1.674638032913208,0.8868370056152344,0.7878010272979736,0
0.0001,129,,,,
,129,3.105959415435791,2.223572254180908,0.8823872804641724,0
0.0001,139,,,,
,139,2.411005973815918,1.6036878824234009,0.8073180913925171,0
0.0001,149,,,,
,149,1.7214986085891724,0.9434406161308289,0.7780579924583435,0
0.0001,159,,,,
,159,3.5528769493103027,2.7201013565063477,0.8327754735946655,0
0.0001,169,,,,
,169,1.9717984199523926,1.213773488998413,0.7580248713493347,0
0.0001,179,,,,
,179,2.1306076049804688,1.3696839809417725,0.7609237432479858,0
0.0001,189,,,,
,189,2.1097724437713623,1.3753947019577026,0.7343777418136597,0
0.0001,199,,,,
,199,2.506294012069702,1.6098467111587524,0.8964473605155945,0
0.0001,209,,,,
,209,1.7957439422607422,1.0760936737060547,0.7196503281593323,0
0.0001,219,,,,
,219,1.739001750946045,1.0259463787078857,0.713055431842804,0
0.0001,229,,,,
,229,2.051687240600586,1.1320350170135498,0.9196521639823914,0
0.0001,239,,,,
,239,1.594355821609497,0.7708390951156616,0.8235166668891907,0
0.0001,249,,,,
,249,1.9935221672058105,1.2011507749557495,0.7923713326454163,0
0.0001,259,,,,
,259,1.8461780548095703,1.0636223554611206,0.7825556993484497,0
0.0001,269,,,,
,269,1.8798027038574219,1.0814226865768433,0.7983800172805786,0
0.0001,279,,,,
,279,1.7445749044418335,0.9418195486068726,0.8027553558349609,0
0.0001,289,,,,
,289,1.9271740913391113,1.0984716415405273,0.828702449798584,0
0.0001,299,,,,
,299,1.6211662292480469,0.7649855613708496,0.856180727481842,0
0.0001,309,,,,
,309,1.6708989143371582,0.8786033391952515,0.7922956347465515,0
0.0001,319,,,,
,319,1.9279745817184448,1.0266146659851074,0.9013599157333374,0
0.0001,329,,,,
,329,1.932051658630371,1.1759209632873535,0.7561306357383728,0
0.0001,339,,,,
,339,1.9480302333831787,1.2372608184814453,0.7107693552970886,0
0.0001,349,,,,
,349,1.6761622428894043,0.8495779037475586,0.8265843391418457,0
