,,,R_factor,R_factor,R_factor,Pearson,Pearson,Pearson,RMSE,RMSE,RMSE,MAE,MAE,MAE
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count
kind,reference,compared_to,,,,,,,,,,,,
chi,orig,pred,1726569.6287448572,75287.70277334002,16,0.07479163961958395,0.10530688380356987,16,35.90826600009078,34.54466949262266,16,29.7827268919208,28.82322577760734,16
chi,orig,true,11152446.210234568,365714.6603330978,11,0.08067247530770426,0.1267372033373245,11,55.281354788550765,54.23526456226356,11,45.704330471183425,46.03128338031482,11
chi,true,pred,0.15536860143057785,0.1726276249605793,11,0.9917083008499973,0.9939755205340743,11,20.594259583973383,21.994925017952134,11,16.638311622192127,19.699261506267334,11
xmu,orig,pred,1.0041122820116257,1.0007832204260305,16,-0.0483244240259098,0.01849071057478876,16,0.7946455408068538,0.8781647861321538,16,0.7696480028460795,0.8725059674594349,16
xmu,orig,true,1.176256551531135e+38,1.001094019600703,11,0.020306974727125737,0.0065645573776684915,11,3.123464425894319e+18,0.9149416047269715,11,9.817127358488941e+17,0.9141223449611141,11
xmu,true,pred,1.972931007301481,1.2546842356033092,11,0.07607923353202778,0.11587532592976683,11,3.118876212235797e+18,0.029573833395616318,11,9.844698088224155e+17,0.021892770260596047,11
