lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,val_loss,val_lattice_loss,val_coord_loss
0.0001,9,,,,,,,,,,
,9,19.471620559692383,18.307743072509766,1.1638767719268799,0,,,,,,
0.0001,19,,,,,,,,,,
,19,5.958019256591797,5.056057929992676,0.9019615650177002,0,,,,,,
0.0001,29,,,,,,,,,,
,29,6.770313739776611,5.965415000915527,0.8048986792564392,0,,,,,,
0.0001,39,,,,,,,,,,
,39,6.227245807647705,5.375697135925293,0.8515484929084778,0,,,,,,
0.0001,49,,,,,,,,,,
,49,7.900289535522461,7.102147102355957,0.7981423735618591,0,,,,,,
0.0001,59,,,,,,,,,,
,59,4.399877548217773,3.718240261077881,0.681637167930603,0,,,,,,
0.0001,69,,,,,,,,,,
,69,3.862027645111084,3.039127826690674,0.8228996992111206,0,,,,,,
0.0001,79,,,,,,,,,,
,79,2.8215365409851074,2.0155813694000244,0.8059552907943726,0,,,,,,
0.0001,89,,,,,,,,,,
,89,4.221312999725342,3.521470785140991,0.699842095375061,0,,,,,,
0.0001,99,,,,,,,,,,
,99,2.887007474899292,2.10121488571167,0.7857926487922668,0,,,,,,
0.0001,109,,,,,,,,,,
,109,3.659810781478882,2.841744899749756,0.8180658221244812,0,,,,,,
0.0001,119,,,,,,,,,,
,119,2.2521650791168213,1.4800407886505127,0.7721242904663086,0,,,,,,
0.0001,129,,,,,,,,,,
,129,3.150475025177002,2.2952840328216553,0.8551911115646362,0,,,,,,
0.0001,139,,,,,,,,,,
,139,3.4089038372039795,2.666484832763672,0.7424190640449524,0,,,,,,
0.0001,149,,,,,,,,,,
,149,2.0501813888549805,1.2068052291870117,0.8433761596679688,0,,,,,,
0.0001,159,,,,,,,,,,
,159,2.145359516143799,1.3523601293563843,0.7929993867874146,0,,,,,,
0.0001,169,,,,,,,,,,
,169,1.609336495399475,0.803080677986145,0.8062558174133301,0,,,,,,
0.0001,179,,,,,,,,,,
,179,1.8749706745147705,1.0987849235534668,0.7761857509613037,0,,,,,,
0.0001,189,,,,,,,,,,
,189,3.7187180519104004,2.8787708282470703,0.8399471640586853,0,,,,,,
0.0001,199,,,,,,,,,,
,199,2.493452310562134,1.6613699197769165,0.8320824503898621,0,,,,,,
0.0001,209,,,,,,,,,,
,209,2.073742628097534,1.254419207572937,0.8193234801292419,0,,,,,,
0.0001,219,,,,,,,,,,
,219,2.2335476875305176,1.3926345109939575,0.8409132957458496,0,,,,,,
0.0001,229,,,,,,,,,,
,229,1.8722853660583496,1.0895334482192993,0.7827518582344055,0,,,,,,
0.0001,239,,,,,,,,,,
,239,1.7409145832061768,0.9817119836807251,0.7592026591300964,0,,,,,,
0.0001,249,,,,,,,,,,
,249,1.8560138940811157,1.0957138538360596,0.7603000402450562,0,,,,,,
0.0001,259,,,,,,,,,,
,259,1.9842932224273682,1.2372695207595825,0.7470237612724304,0,,,,,,
0.0001,269,,,,,,,,,,
,269,1.4523165225982666,0.7372888326644897,0.7150276899337769,0,,,,,,
0.0001,279,,,,,,,,,,
,279,1.6910958290100098,0.9756490588188171,0.7154467105865479,0,,,,,,
0.0001,289,,,,,,,,,,
,289,1.9316091537475586,1.127432942390442,0.8041762709617615,0,,,,,,
0.0001,299,,,,,,,,,,
,299,1.8777949810028076,1.0924899578094482,0.7853050827980042,0,,,,,,
0.0001,309,,,,,,,,,,
,309,1.8644108772277832,1.088304042816162,0.7761067748069763,0,,,,,,
0.0001,319,,,,,,,,,,
,319,1.7787424325942993,0.9788035750389099,0.7999388575553894,0,,,,,,
0.0001,329,,,,,,,,,,
,329,2.0577454566955566,1.2433898448944092,0.8143554925918579,0,,,,,,
0.0001,339,,,,,,,,,,
,339,1.8607200384140015,1.0812374353408813,0.7794826030731201,0,,,,,,
0.0001,349,,,,,,,,,,
,349,1.606802225112915,0.9143566489219666,0.6924456357955933,0,,,,,,
0.0001,359,,,,,,,,,,
,359,1.4886291027069092,0.6901209354400635,0.7985082268714905,0,,,,,,
0.0001,369,,,,,,,,,,
,369,1.448082685470581,0.7462859749794006,0.7017967104911804,0,,,,,,
0.0001,379,,,,,,,,,,
,379,1.425173282623291,0.6367330551147461,0.7884401679039001,0,,,,,,
0.0001,389,,,,,,,,,,
,389,1.88099205493927,1.0725789070129395,0.8084131479263306,0,,,,,,
0.0001,399,,,,,,,,,,
,399,1.9113221168518066,1.1656289100646973,0.7456932663917542,0,,,,,,
0.0001,409,,,,,,,,,,
,409,1.4732811450958252,0.6955782175064087,0.7777028679847717,0,,,,,,
,414,,,,0,3.246631622314453,2.4441215991973877,0.8025110363960266,,,
0.0001,419,,,,,,,,,,
,419,1.5735551118850708,0.7308840751647949,0.8426710367202759,1,,,,,,
0.0001,429,,,,,,,,,,
,429,1.6088390350341797,0.8680386543273926,0.7408004403114319,1,,,,,,
0.0001,439,,,,,,,,,,
,439,1.6915944814682007,0.9103490114212036,0.7812454700469971,1,,,,,,
0.0001,449,,,,,,,,,,
,449,1.6775349378585815,0.9388411641120911,0.7386937737464905,1,,,,,,
0.0001,459,,,,,,,,,,
,459,1.6576858758926392,0.7425521612167358,0.9151337146759033,1,,,,,,
0.0001,469,,,,,,,,,,
,469,1.528112530708313,0.6903877258300781,0.8377248048782349,1,,,,,,
0.0001,479,,,,,,,,,,
,479,1.8357532024383545,1.0580068826675415,0.7777462601661682,1,,,,,,
0.0001,489,,,,,,,,,,
,489,1.5584509372711182,0.8585419654846191,0.6999090313911438,1,,,,,,
0.0001,499,,,,,,,,,,
,499,1.5301194190979004,0.7672265768051147,0.7628929018974304,1,,,,,,
0.0001,509,,,,,,,,,,
,509,1.685194730758667,0.9124637842178345,0.7727308869361877,1,,,,,,
0.0001,519,,,,,,,,,,
,519,1.4842908382415771,0.8053821921348572,0.67890864610672,1,,,,,,
0.0001,529,,,,,,,,,,
,529,1.2557785511016846,0.5156198143959045,0.74015873670578,1,,,,,,
0.0001,539,,,,,,,,,,
,539,2.024827241897583,1.2980515956878662,0.726775586605072,1,,,,,,
0.0001,549,,,,,,,,,,
,549,1.6181367635726929,0.7795519828796387,0.8385847806930542,1,,,,,,
0.0001,559,,,,,,,,,,
,559,1.8394074440002441,1.0623793601989746,0.7770280241966248,1,,,,,,
0.0001,569,,,,,,,,,,
,569,1.7746896743774414,0.9405752420425415,0.8341143727302551,1,,,,,,
0.0001,579,,,,,,,,,,
,579,1.4099448919296265,0.6548221707344055,0.755122721195221,1,,,,,,
0.0001,589,,,,,,,,,,
,589,1.5565106868743896,0.7682731747627258,0.7882375717163086,1,,,,,,
0.0001,599,,,,,,,,,,
,599,1.589017391204834,0.7463458776473999,0.8426715731620789,1,,,,,,
0.0001,609,,,,,,,,,,
,609,1.677142858505249,0.868297815322876,0.8088449835777283,1,,,,,,
0.0001,619,,,,,,,,,,
,619,1.361133337020874,0.6573699712753296,0.7037633657455444,1,,,,,,
0.0001,629,,,,,,,,,,
,629,1.872784972190857,1.0797462463378906,0.7930387258529663,1,,,,,,
0.0001,639,,,,,,,,,,
,639,1.5071065425872803,0.728130042552948,0.7789765000343323,1,,,,,,
0.0001,649,,,,,,,,,,
,649,1.4769179821014404,0.6515124440193176,0.8254055976867676,1,,,,,,
0.0001,659,,,,,,,,,,
,659,1.6994342803955078,0.9124751687049866,0.7869591116905212,1,,,,,,
0.0001,669,,,,,,,,,,
,669,1.3375420570373535,0.5776576995849609,0.7598844170570374,1,,,,,,
0.0001,679,,,,,,,,,,
