mp_id,split,lattice_matched,length_rmse,angle_mae,pred_valid,gt_valid,n_atoms,pred_len_max,pred_len_mean,gt_len_mean,is_ionic,quality_tier,element
1018052,val,False,4.446695804595947,20.20660400390625,True,True,70,17.496919631958008,10.900039672851562,12.465153694152832,False,A,Fe
1022733,val,True,0.5465317368507385,1.4671732187271118,True,True,80,15.864442825317383,11.245203971862793,10.83172607421875,False,B,Fe
1032137,val,False,1656.796875,85.18743896484375,True,True,70,2078.2451171875,1634.2359619140625,14.76768970489502,False,A,Fe
1032382,val,False,6.21665620803833,23.216875076293945,True,True,64,17.38082504272461,14.572222709655762,9.256387710571289,False,A,Fe
1032467,val,False,4.026582717895508,28.743261337280273,True,True,84,10.996981620788574,10.453635215759277,11.80971622467041,False,A,Fe
1032542,val,True,1.0039690732955933,5.052253723144531,True,True,66,15.287795066833496,10.241143226623535,10.234742164611816,True,A,Fe
1035481,val,True,3.07271146774292,2.5343806743621826,True,True,60,13.423949241638184,9.483325958251953,10.205443382263184,False,A,Fe
1035561,val,False,1.1072477102279663,5.993924617767334,True,True,70,16.405445098876953,10.341665267944336,10.665575981140137,False,C,Fe
1036954,val,False,840.48681640625,81.592041015625,True,True,84,1408.16552734375,678.0720825195312,11.751294136047363,True,C,Fe
1037596,val,False,0.9733836054801941,31.04350471496582,True,True,60,16.368566513061523,10.47053050994873,11.261479377746582,True,A,Fe
1038379,val,False,0.9708183407783508,5.000882625579834,True,True,88,15.14794921875,11.569453239440918,11.415092468261719,True,A,Al
1041598,val,False,2.8826940059661865,19.4774227142334,True,True,72,12.626276016235352,11.182449340820312,10.127199172973633,False,A,Fe
1042141,val,False,2.4172184467315674,0.03926340863108635,True,True,60,12.613531112670898,9.379072189331055,9.932816505432129,False,A,Fe
1043103,val,False,6.950378894805908,4.644218444824219,True,True,60,27.70834732055664,13.05186939239502,9.700676918029785,False,A,Fe
1043643,val,False,310.800537109375,41.333045959472656,True,True,60,535.1080932617188,249.4508819580078,11.820385932922363,False,C,Fe
1043844,val,False,3.508176803588867,0.47521209716796875,True,True,76,18.229881286621094,10.916041374206543,10.786822319030762,False,C,Fe
1043870,val,False,1149.1483154296875,76.25527954101562,True,True,60,1940.2769775390625,890.1668090820312,9.633261680603027,True,C,Fe
1043991,val,False,1429.6588134765625,61.9769287109375,True,True,60,1741.1275634765625,1338.2701416015625,12.573417663574219,True,A,Fe
1044202,val,False,6.931331157684326,0.1382090300321579,True,True,128,21.64408302307129,12.322306632995605,10.181502342224121,False,C,Fe
1044380,val,False,904.3694458007812,25.510221481323242,True,True,60,1581.869140625,607.1589965820312,11.671351432800293,False,A,Bi
1045790,val,False,2.9039554595947266,52.66691970825195,True,True,60,27.883407592773438,13.128008842468262,14.334179878234863,False,A,Fe
1046652,val,False,2.1703715324401855,14.768081665039062,True,True,116,19.61334800720215,13.661694526672363,12.588671684265137,False,A,Fe
1048244,val,False,1.6716912984848022,8.230242729187012,True,True,72,15.527599334716797,10.69922161102295,10.194535255432129,False,A,Fe
1048660,val,False,0.6193200349807739,4.388463497161865,True,True,96,14.919087409973145,10.899889945983887,11.104202270507812,False,C,Fe
1049284,val,False,1.584234595298767,27.256484985351562,True,True,72,13.955303192138672,10.343804359436035,11.212013244628906,False,A,Fe
1068212,val,True,2.836718797683716,0.19929759204387665,True,True,96,14.140536308288574,11.056855201721191,11.91767406463623,False,A,Fe
1076181,val,True,1.8253155946731567,9.761811256408691,True,True,68,17.668649673461914,11.811634063720703,10.732556343078613,False,A,Fe
1076829,val,True,1.963028907775879,3.032536745071411,True,True,104,11.60169506072998,10.740848541259766,10.967812538146973,False,C,Co
1076854,val,False,3.165071964263916,9.981432914733887,True,True,72,10.112828254699707,10.01772403717041,10.628747940063477,False,C,Fe
1077667,val,True,0.6654620170593262,2.8764240741729736,True,True,88,14.327994346618652,10.81777286529541,10.328646659851074,False,A,Fe
1077691,val,False,2.359562873840332,11.703010559082031,True,True,70,13.908684730529785,11.138447761535645,10.473454475402832,False,A,Fe
1078458,val,False,7.691169261932373,22.940629959106445,True,True,60,11.188786506652832,9.03725528717041,11.469378471374512,False,A,Fe
1078679,val,False,1142.6578369140625,59.00514602661133,True,True,84,1602.400634765625,1049.2972412109375,10.859512329101562,False,A,Fe
1080202,val,False,12.15030574798584,7.4275946617126465,True,True,65,12.933280944824219,11.34941577911377,15.442212104797363,False,A,Fe
1096767,val,True,2.336989402770996,0.2873687744140625,True,True,72,17.107379913330078,10.4609956741333,9.998469352722168,False,A,Fe
1096778,val,False,1.7680978775024414,11.345614433288574,True,True,88,15.89181900024414,11.166770935058594,11.731403350830078,True,A,Ba
1096865,val,True,0.3564012348651886,0.02167765237390995,True,True,60,16.56315803527832,10.161128997802734,9.887781143188477,False,A,Fe
1097025,val,False,8076.22265625,52.098262786865234,True,True,84,10153.6806640625,7483.97998046875,13.386332511901855,False,A,Fe
1099287,val,True,2.933915376663208,0.5105946660041809,True,True,106,12.44653034210205,11.047657012939453,11.05611515045166,False,C,Fe
1099588,val,False,12.035962104797363,38.11794662475586,True,True,84,15.16822338104248,10.955612182617188,15.61294937133789,False,A,Fe
1099603,val,False,3.6211259365081787,37.2384033203125,True,True,112,19.287689208984375,11.989044189453125,13.37218189239502,False,A,Fe
1099816,val,False,6.15311861038208,41.046417236328125,True,True,112,14.47433090209961,11.610820770263672,14.067070007324219,False,C,Co
1099847,val,False,1.4888503551483154,6.1534247398376465,True,True,70,13.092742919921875,9.793397903442383,8.94997787475586,False,A,Co
1099890,val,False,2.1774306297302246,12.360011100769043,True,True,78,15.621330261230469,10.077420234680176,9.432852745056152,False,A,Co
1101048,val,False,5.87864351272583,57.02309036254883,True,True,64,16.94662857055664,10.433913230895996,13.895535469055176,False,A,Fe
1101703,val,False,1.734623670578003,19.808969497680664,True,True,68,11.949363708496094,10.036703109741211,10.09743881225586,False,A,Fe
1101729,val,False,190.4786834716797,35.69575119018555,True,True,78,342.2785949707031,150.6186065673828,12.888572692871094,False,A,Fe
1103865,val,False,5.571353912353516,0.330474853515625,True,True,72,16.641563415527344,12.310406684875488,10.432557106018066,False,A,Fe
1103948,val,False,3.1028823852539062,12.199836730957031,True,True,80,18.673221588134766,11.593650817871094,11.076217651367188,False,C,Fe
1105542,val,False,2.4690165519714355,39.85893630981445,True,True,60,13.158318519592285,10.14758014678955,10.997942924499512,False,A,Fe
1147559,val,False,6.30718994140625,12.496256828308105,True,True,84,31.07884407043457,15.438706398010254,13.1634521484375,False,A,Fe
1173772,val,False,1.4170773029327393,27.433258056640625,True,True,80,12.006368637084961,10.467780113220215,10.284425735473633,False,A,Fe
1176545,val,False,13.821501731872559,23.44297981262207,True,True,70,14.321379661560059,11.607986450195312,17.475465774536133,False,A,Fe
1176578,val,False,1.6307613849639893,23.732694625854492,True,True,63,17.1234130859375,11.332054138183594,9.9299898147583,False,A,Co
1176603,val,True,2.994241952896118,0.04792022705078125,True,True,144,16.825164794921875,13.447093963623047,12.235672950744629,False,A,Fe
1176678,val,False,980.2516479492188,70.1998062133789,True,True,80,1659.245361328125,752.206787109375,10.93514347076416,False,A,Fe
1176717,val,True,0.9945189952850342,6.630607604980469,True,True,76,15.40471363067627,10.951801300048828,10.968829154968262,False,A,Fe
1176729,val,False,4.52901029586792,3.6755142211914062,True,True,72,9.886979103088379,9.788818359375,11.179264068603516,False,A,Fe
1176939,val,False,2.1323225498199463,31.194137573242188,True,True,80,14.727499961853027,10.985079765319824,12.2664213180542,True,A,Li
1176968,val,False,0.9152711033821106,13.737091064453125,True,True,74,12.272790908813477,10.142840385437012,10.632675170898438,False,A,Fe
1177116,val,True,2.187566041946411,0.18119049072265625,True,True,112,15.120444297790527,10.964442253112793,10.425097465515137,False,C,Fe
