lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,type_ce_loss_step,total_loss_step,epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_density_loss,val_type_ce_loss,val_total_loss,val_type_acc,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,density_loss_epoch,type_ce_loss_epoch,total_loss_epoch
0.0001,0,,,,,,,,,,,,,,,,,,,,,,,
,9,1.8577038049697876,6.570242881774902,0.7863670587539673,0.006199688650667667,0.08178926259279251,10.242424011230469,1.8577038049697876,0,,,,,,,,,,,,,,,
,19,1.7786803245544434,7.186469078063965,0.6551600098609924,0.01068978663533926,0.08051092177629471,10.725750923156738,1.7786803245544434,0,,,,,,,,,,,,,,,
,29,1.6139700412750244,7.290976047515869,0.6568883657455444,0.010210500098764896,0.07871511578559875,9.075136184692383,1.6139700412750244,0,,,,,,,,,,,,,,,
,39,1.4802191257476807,7.371406555175781,0.673795223236084,0.007036514114588499,0.07736319303512573,7.607058525085449,1.4802191257476807,0,,,,,,,,,,,,,,,
,49,1.5308821201324463,7.667873859405518,0.7085469961166382,0.0064257169142365456,0.08110960572957993,7.753546237945557,1.5308821201324463,0,,,,,,,,,,,,,,,
,59,1.5496954917907715,7.514622211456299,0.7485072016716003,0.01204934623092413,0.07908575236797333,7.495960235595703,1.5496954917907715,0,,,,,,,,,,,,,,,
,69,1.6687884330749512,7.764688968658447,0.7477251887321472,0.016682373359799385,0.07855422049760818,8.651037216186523,1.6687884330749512,0,,,,,,,,,,,,,,,
,79,1.5785651206970215,7.163515567779541,0.7912020087242126,0.005449868738651276,0.08269481360912323,7.405657768249512,1.5785651206970215,0,,,,,,,,,,,,,,,
,89,1.5294020175933838,6.238409519195557,0.8546149730682373,0.008923076093196869,0.0802147164940834,6.257565975189209,1.5294020175933838,0,,,,,,,,,,,,,,,
,99,1.2463016510009766,7.2327752113342285,0.7083327770233154,0.009077959693968296,0.08172410726547241,4.880288600921631,1.2463016510009766,0,,,,,,,,,,,,,,,
,109,1.6640031337738037,7.485997676849365,0.8066292405128479,0.07717321068048477,0.08398730307817459,7.3820695877075195,1.6640031337738037,0,,,,,,,,,,,,,,,
,119,1.2466707229614258,7.8178391456604,0.6467773914337158,0.014241121709346771,0.07997133582830429,5.456665992736816,1.2466707229614258,0,,,,,,,,,,,,,,,
,129,1.2953898906707764,7.612548828125,0.6466857194900513,0.005946636199951172,0.08625201135873795,5.996315956115723,1.2953898906707764,0,,,,,,,,,,,,,,,
,139,1.2114102840423584,7.155850887298584,0.6919566988945007,0.00862258393317461,0.07921560108661652,4.712231636047363,1.2114102840423584,0,,,,,,,,,,,,,,,
,149,1.4060914516448975,6.941113471984863,0.8012110590934753,0.0073854667134583,0.08315770328044891,5.559160232543945,1.4060914516448975,0,,,,,,,,,,,,,,,
,159,1.227370262145996,6.722403049468994,0.6854347586631775,0.006285639014095068,0.08203084021806717,4.946344375610352,1.227370262145996,0,,,,,,,,,,,,,,,
,169,1.165579080581665,8.14531421661377,0.7110002040863037,0.007214153651148081,0.0811953917145729,4.067671298980713,1.165579080581665,0,,,,,,,,,,,,,,,
,179,1.4155447483062744,6.7404398918151855,0.850806713104248,0.005372298415750265,0.08333790302276611,5.176967620849609,1.4155447483062744,0,,,,,,,,,,,,,,,
,189,1.229170560836792,7.471099853515625,0.629059910774231,0.01096807885915041,0.07992991805076599,5.491776466369629,1.229170560836792,0,,,,,,,,,,,,,,,
,199,1.308722972869873,8.596517562866211,0.7606499195098877,0.010216975584626198,0.08013010770082474,4.97791051864624,1.308722972869873,0,,,,,,,,,,,,,,,
,209,1.1135635375976562,7.363855838775635,0.6510146260261536,0.00957240629941225,0.0767328143119812,4.146101951599121,1.1135635375976562,0,,,,,,,,,,,,,,,
,219,1.2097930908203125,6.745661735534668,0.5811678767204285,0.020217644050717354,0.0805361345410347,5.681395053863525,1.2097930908203125,0,,,,,,,,,,,,,,,
,229,1.331782341003418,6.35674524307251,0.6732378602027893,0.009471522644162178,0.0850314125418663,6.065572261810303,1.331782341003418,0,,,,,,,,,,,,,,,
,239,1.1910563707351685,6.825454235076904,0.7848588824272156,0.006246104836463928,0.0838446095585823,3.5802905559539795,1.1910563707351685,0,,,,,,,,,,,,,,,
,249,1.2273828983306885,8.180389404296875,0.7553267478942871,0.005228222813457251,0.08435310423374176,4.246513843536377,1.2273828983306885,0,,,,,,,,,,,,,,,
,259,1.1942028999328613,7.020413875579834,0.7189337611198425,0.0059816958382725716,0.0820608139038086,4.282569885253906,1.1942028999328613,0,,,,,,,,,,,,,,,
,269,1.258359432220459,8.296042442321777,0.7460080981254578,0.008819416165351868,0.07855480164289474,4.642545223236084,1.258359432220459,0,,,,,,,,,,,,,,,
,279,1.2222884893417358,6.753469944000244,0.7156312465667725,0.0131046948954463,0.0795130804181099,4.537960052490234,1.2222884893417358,0,,,,,,,,,,,,,,,
,289,1.1706364154815674,7.87129545211792,0.7677701115608215,0.004977836273610592,0.07910139113664627,3.5833771228790283,1.1706364154815674,0,,,,,,,,,,,,,,,
,299,1.3214386701583862,7.2498016357421875,0.8686727285385132,0.02147228643298149,0.08252575248479843,3.900308132171631,1.3214386701583862,0,,,,,,,,,,,,,,,
,309,1.1583030223846436,7.553077697753906,0.6772418022155762,0.008504715748131275,0.08056510239839554,4.322739124298096,1.1583030223846436,0,,,,,,,,,,,,,,,
,319,1.1907575130462646,7.731794834136963,0.7244027256965637,0.00535036763176322,0.08192217350006104,4.200433731079102,1.1907575130462646,0,,,,,,,,,,,,,,,
,329,1.0171616077423096,6.781725883483887,0.5900164842605591,0.017406919971108437,0.07841134816408157,3.705324649810791,1.0171616077423096,0,,,,,,,,,,,,,,,
,339,1.1908042430877686,7.809333801269531,0.8318312764167786,0.003776809899136424,0.07901794463396072,3.156872272491455,1.1908042430877686,0,,,,,,,,,,,,,,,
,349,1.0995738506317139,6.727756500244141,0.7035170793533325,0.006411649752408266,0.08153686672449112,3.48876690864563,1.0995738506317139,0,,,,,,,,,,,,,,,
,359,1.1901779174804688,7.578462600708008,0.7118633985519409,0.020696347579360008,0.08201233297586441,4.166119575500488,1.1901779174804688,0,,,,,,,,,,,,,,,
,369,1.250661849975586,8.127435684204102,0.7907127737998962,0.011074287816882133,0.08273427188396454,4.075076580047607,1.250661849975586,0,,,,,,,,,,,,,,,
,379,1.079620361328125,8.128057479858398,0.6483346819877625,0.009121803566813469,0.0795392394065857,3.8239428997039795,1.079620361328125,0,,,,,,,,,,,,,,,
,389,0.9536640644073486,7.5366058349609375,0.5889996886253357,0.010572985745966434,0.07755204290151596,3.153153419494629,0.9536640644073486,0,,,,,,,,,,,,,,,
,399,1.0949832201004028,7.599855899810791,0.695531964302063,0.007607008330523968,0.08102765679359436,3.5133049488067627,1.0949832201004028,0,,,,,,,,,,,,,,,
,409,1.1147360801696777,8.104782104492188,0.6799898743629456,0.009219883009791374,0.08424486964941025,3.834038496017456,1.1147360801696777,0,,,,,,,,,,,,,,,
,419,1.0757527351379395,6.956611156463623,0.7145424485206604,0.007073594257235527,0.07957380264997482,3.143497943878174,1.0757527351379395,0,,,,,,,,,,,,,,,
,429,0.9850822687149048,7.946646690368652,0.6937271356582642,0.01411836501210928,0.08040151745080948,2.3703598976135254,0.9850822687149048,0,,,,,,,,,,,,,,,
,439,1.0321807861328125,7.57725191116333,0.680841863155365,0.009219746105372906,0.082421213388443,3.0090861320495605,1.0321807861328125,0,,,,,,,,,,,,,,,
,449,1.2608540058135986,7.664209842681885,0.8129939436912537,0.015307549387216568,0.08273104578256607,3.911869525909424,1.2608540058135986,0,,,,,,,,,,,,,,,
,459,1.123661994934082,7.860086917877197,0.7782453298568726,0.005335009656846523,0.08525928854942322,2.9745190143585205,1.123661994934082,0,,,,,,,,,,,,,,,
,469,1.1026498079299927,6.940769672393799,0.7039883136749268,0.012792575173079967,0.08134368807077408,3.4519705772399902,1.1026498079299927,0,,,,,,,,,,,,,,,
,474,,,,,,,,0,1.1635408401489258,7.400681972503662,0.7514635324478149,0.016759835183620453,0.08103688061237335,3.547985553741455,1.1635408401489258,0.4723829925060272,,,,,,,
,474,,,,,,,,0,,,,,,,,,1.2941018342971802,7.3234710693359375,0.7272772192955017,0.011267500929534435,0.08130050450563431,5.1490702629089355,1.2941018342971802
9.999902291237878e-05,475,,,,,,,,,,,,,,,,,,,,,,,
,479,1.2684872150421143,7.669646263122559,0.8713583946228027,0.006596796214580536,0.07687947899103165,3.520922899246216,1.2684872150421143,1,,,,,,,,,,,,,,,
,489,1.1232328414916992,8.313758850097656,0.741126298904419,0.0106540247797966,0.07925792038440704,3.318234920501709,1.1232328414916992,1,,,,,,,,,,,,,,,
,499,0.9215967655181885,7.000586032867432,0.6770268082618713,0.010686584748327732,0.08343972265720367,1.921635389328003,0.9215967655181885,1,,,,,,,,,,,,,,,
,509,1.0910686254501343,7.753468990325928,0.7691569328308105,0.005893451161682606,0.0818835124373436,2.7507643699645996,1.0910686254501343,1,,,,,,,,,,,,,,,
,519,1.0196179151535034,7.475155353546143,0.780464768409729,0.008178464137017727,0.08324620127677917,1.8935152292251587,1.0196179151535034,1,,,,,,,,,,,,,,,
,529,1.1169662475585938,6.954422473907471,0.7764248847961426,0.004804696887731552,0.08251062035560608,2.9448142051696777,1.1169662475585938,1,,,,,,,,,,,,,,,
,539,1.206605315208435,7.544236183166504,0.9146851897239685,0.010708107613027096,0.08365628123283386,2.393838882446289,1.206605315208435,1,,,,,,,,,,,,,,,
,549,1.0599703788757324,7.609798908233643,0.7929800152778625,0.014963116496801376,0.08063710480928421,2.117086887359619,1.0599703788757324,1,,,,,,,,,,,,,,,
,559,0.9987144470214844,6.690626621246338,0.6902720332145691,0.008003820665180683,0.08108434826135635,2.598963975906372,0.9987144470214844,1,,,,,,,,,,,,,,,
,569,0.94694983959198,6.531158447265625,0.676367998123169,0.006727484054863453,0.08339641988277435,2.2215616703033447,0.94694983959198,1,,,,,,,,,,,,,,,
,579,0.894599437713623,7.046790599822998,0.5810904502868652,0.013330148532986641,0.0828077644109726,2.587749481201172,0.894599437713623,1,,,,,,,,,,,,,,,
,589,1.0425751209259033,7.31559944152832,0.6953197121620178,0.014795803464949131,0.08431809395551682,2.903006076812744,1.0425751209259033,1,,,,,,,,,,,,,,,
,599,1.0475488901138306,7.07250452041626,0.7815492153167725,0.009742033667862415,0.08232223987579346,2.1509652137756348,1.0475488901138306,1,,,,,,,,,,,,,,,
,609,1.1318013668060303,6.615711688995361,0.8922671675682068,0.005126025527715683,0.08323831856250763,1.9278900623321533,1.1318013668060303,1,,,,,,,,,,,,,,,
,619,1.1968486309051514,7.015390872955322,0.8266928791999817,0.008891232311725616,0.08354328572750092,3.1949284076690674,1.1968486309051514,1,,,,,,,,,,,,,,,
,629,1.0818428993225098,7.0581488609313965,0.7317807674407959,0.027016278356313705,0.08105643093585968,2.82517671585083,1.0818428993225098,1,,,,,,,,,,,,,,,
,639,0.9736848473548889,6.678769111633301,0.7070842385292053,0.010500200092792511,0.07879883795976639,2.1670095920562744,0.9736848473548889,1,,,,,,,,,,,,,,,
,649,1.1394985914230347,6.076050758361816,0.8756768107414246,0.007890883833169937,0.08307328820228577,2.1439430713653564,1.1394985914230347,1,,,,,,,,,,,,,,,
,659,1.1611454486846924,8.10390853881836,0.7703742384910583,0.0465889610350132,0.07713987678289413,3.0561232566833496,1.1611454486846924,1,,,,,,,,,,,,,,,
,669,1.0171598196029663,6.885410785675049,0.7269853353500366,0.00992908701300621,0.08389528840780258,2.3829774856567383,1.0171598196029663,1,,,,,,,,,,,,,,,
,679,1.0288009643554688,7.672346591949463,0.6887499690055847,0.007886836305260658,0.08444643020629883,2.899409532546997,1.0288009643554688,1,,,,,,,,,,,,,,,
,689,1.0814483165740967,7.268093585968018,0.8246122002601624,0.006242073141038418,0.08064430952072144,2.102717876434326,1.0814483165740967,1,,,,,,,,,,,,,,,
,699,1.1311094760894775,6.796794414520264,0.7887128591537476,0.005421325098723173,0.08129402995109558,2.9632821083068848,1.1311094760894775,1,,,,,,,,,,,,,,,
,709,1.1718809604644775,7.7234320640563965,0.8487779498100281,0.007533164229243994,0.08060170710086823,2.7526891231536865,1.1718809604644775,1,,,,,,,,,,,,,,,
,719,0.9999281167984009,6.82336950302124,0.6550476551055908,0.01453118771314621,0.07912465929985046,2.9078691005706787,0.9999281167984009,1,,,,,,,,,,,,,,,
,729,1.1758776903152466,7.890721797943115,0.8343467116355896,0.005846859887242317,0.08468251675367355,2.933429002761841,1.1758776903152466,1,,,,,,,,,,,,,,,
,739,1.0238529443740845,7.298923015594482,0.7467123866081238,0.007469085045158863,0.07805018872022629,2.306464672088623,1.0238529443740845,1,,,,,,,,,,,,,,,
,749,1.0107110738754272,7.638314247131348,0.7172369956970215,0.01142699271440506,0.08412129431962967,2.3998639583587646,1.0107110738754272,1,,,,,,,,,,,,,,,
,759,0.9163685441017151,7.992865085601807,0.6306483149528503,0.007426839787513018,0.08077207952737808,2.37907338142395,0.9163685441017151,1,,,,,,,,,,,,,,,
,769,0.9368683099746704,6.6344475746154785,0.6002993583679199,0.007714227773249149,0.07804200053215027,2.898336887359619,0.9368683099746704,1,,,,,,,,,,,,,,,
