lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,type_ce_loss_step,total_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,density_loss_epoch,type_ce_loss_epoch,total_loss_epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_density_loss,val_type_ce_loss,val_total_loss,val_type_acc
9.880787971596803e-05,16589,,,,,,,,,,,,,,,,,,,,,,,
9.87390802029356e-05,16589,,,,,,,,,,,,,,,,,,,,,,,
,16589,0.9937673807144165,8.96962833404541,0.8624948263168335,0.009044855833053589,0.07896523922681808,0.8274508714675903,0.9937673807144165,35,,,,,,,,,,,,,,,
,16599,0.9119789600372314,7.943631649017334,0.7824476361274719,0.016678055748343468,0.08185229450464249,0.7192715406417847,0.9119789600372314,35,,,,,,,,,,,,,,,
,16609,1.015712022781372,9.02430534362793,0.8804963827133179,0.008420501835644245,0.08029879629611969,0.8664576411247253,1.015712022781372,35,,,,,,,,,,,,,,,
,16619,0.9017170667648315,7.72088623046875,0.7816612720489502,0.007998543791472912,0.08382612466812134,0.7014416456222534,0.9017170667648315,35,,,,,,,,,,,,,,,
,16629,0.9284002780914307,8.219006538391113,0.7753543853759766,0.016639800742268562,0.08111657202243805,0.9584776759147644,0.9284002780914307,35,,,,,,,,,,,,,,,
,16639,0.8033225536346436,7.6763596534729,0.6669781804084778,0.011832606978714466,0.08055618405342102,0.8423368334770203,0.8033225536346436,35,,,,,,,,,,,,,,,
,16649,0.9336414933204651,7.995759963989258,0.8060645461082458,0.015355641953647137,0.07891067117452621,0.7276597023010254,0.9336414933204651,35,,,,,,,,,,,,,,,
,16659,0.9564263224601746,8.17783260345459,0.8138054609298706,0.00746076600626111,0.08192701637744904,0.9419654607772827,0.9564263224601746,35,,,,,,,,,,,,,,,
,16669,0.9671808481216431,8.9403657913208,0.8205000758171082,0.009083980694413185,0.0820748433470726,0.9655933380126953,0.9671808481216431,35,,,,,,,,,,,,,,,
,16679,0.8759483695030212,8.924087524414062,0.7462772727012634,0.011053736321628094,0.0846891924738884,0.7627276182174683,0.8759483695030212,35,,,,,,,,,,,,,,,
,16689,1.038982629776001,7.844058513641357,0.8886569738388062,0.016234608367085457,0.08000655472278595,0.940876841545105,1.038982629776001,35,,,,,,,,,,,,,,,
,16699,0.8604457974433899,8.532254219055176,0.7380726337432861,0.013602560386061668,0.0855676531791687,0.6598681807518005,0.8604457974433899,35,,,,,,,,,,,,,,,
,16709,0.9147401452064514,6.365816593170166,0.7572543025016785,0.02455340325832367,0.08404351770877838,0.9091067314147949,0.9147401452064514,35,,,,,,,,,,,,,,,
,16719,0.9625676870346069,8.327061653137207,0.8203005194664001,0.008047359995543957,0.08375044167041779,0.9234458804130554,0.9625676870346069,35,,,,,,,,,,,,,,,
,16729,0.88226717710495,8.502281188964844,0.7318291068077087,0.03402947261929512,0.0790439173579216,0.7688664793968201,0.88226717710495,35,,,,,,,,,,,,,,,
,16739,1.0193963050842285,8.953116416931152,0.8981651067733765,0.009417573921382427,0.08473636955022812,0.6944542527198792,1.0193963050842285,35,,,,,,,,,,,,,,,
,16749,1.0290701389312744,9.06493854522705,0.9145023822784424,0.007769971154630184,0.08296077698469162,0.6531739234924316,1.0290701389312744,35,,,,,,,,,,,,,,,
,16759,1.0419361591339111,8.489870071411133,0.9079807996749878,0.007097430527210236,0.08247595280408859,0.8562003970146179,1.0419361591339111,35,,,,,,,,,,,,,,,
,16769,0.8656339049339294,8.63992977142334,0.7395775318145752,0.008455921895802021,0.08322304487228394,0.7598893642425537,0.8656339049339294,35,,,,,,,,,,,,,,,
,16779,0.9348319172859192,8.059618949890137,0.8075046539306641,0.009726990014314651,0.08488412201404572,0.7515820264816284,0.9348319172859192,35,,,,,,,,,,,,,,,
,16789,0.9693622589111328,7.998865604400635,0.8125177025794983,0.008824833668768406,0.08175821602344513,1.0714062452316284,0.9693622589111328,35,,,,,,,,,,,,,,,
,16799,0.9032971858978271,8.970760345458984,0.7338745594024658,0.05223660543560982,0.0818600058555603,0.7625601291656494,0.9032971858978271,35,,,,,,,,,,,,,,,
,16809,0.9715462923049927,8.864554405212402,0.8317122459411621,0.010070322081446648,0.08350159227848053,0.8801290392875671,0.9715462923049927,35,,,,,,,,,,,,,,,
,16819,0.979816198348999,8.517586708068848,0.8698225617408752,0.006447941996157169,0.08279718458652496,0.6214707493782043,0.979816198348999,35,,,,,,,,,,,,,,,
