split,n_samples,xmu_mean,xmu_std,xmu_min,xmu_max,chi1_mean,chi1_std,chi1_min,chi1_max
train,102660,0.9758948087692261,0.6439713835716248,-58.40890121459961,61.14683151245117,-0.005920941475778818,2.226853609085083,-207.3997039794922,145.3986358642578
val,12912,0.9761099219322205,0.6486645936965942,-26.752199172973633,12.001500129699707,-0.005487964954227209,2.2520334720611572,-139.4707794189453,124.09873962402344
test,7696,0.9738773107528687,0.6261746883392334,-9.316360473632812,13.621600151062012,-0.005740298889577389,2.1732351779937744,-149.3297882080078,112.42210388183594
holdout,5114,0.9723739624023438,0.6269768476486206,-9.830126762390137,13.993300437927246,-0.006234302185475826,2.1444571018218994,-85.02944946289062,86.45130920410156
