lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch
0.0001,9,,,,
,9,12.38823127746582,11.441276550292969,0.9469550848007202,0
0.0001,19,,,,
,19,13.160184860229492,12.234328269958496,0.9258569478988647,0
0.0001,29,,,,
,29,5.656037330627441,4.840770721435547,0.8152663707733154,0
0.0001,39,,,,
,39,4.696568012237549,3.9438796043395996,0.7526884078979492,0
0.0001,49,,,,
,49,2.3373842239379883,1.548927664756775,0.7884564995765686,0
0.0001,59,,,,
,59,3.0636322498321533,2.20862078666687,0.8550114631652832,0
0.0001,69,,,,
,69,2.5102787017822266,1.6426408290863037,0.8676377534866333,0
0.0001,79,,,,
,79,2.4518563747406006,1.549408197402954,0.9024481177330017,0
0.0001,89,,,,
,89,2.4640634059906006,1.6523568630218506,0.8117066025733948,0
0.0001,99,,,,
,99,2.105619430541992,1.2410972118377686,0.8645220994949341,0
0.0001,109,,,,
,109,1.7946274280548096,1.0011088848114014,0.7935184836387634,0
0.0001,119,,,,
,119,1.8052107095718384,1.0125054121017456,0.7927052974700928,0
0.0001,129,,,,
,129,1.6842765808105469,0.9454503059387207,0.7388262748718262,0
0.0001,139,,,,
,139,2.1386544704437256,1.3058226108551025,0.832831859588623,0
0.0001,149,,,,
,149,2.0200748443603516,1.2765309810638428,0.743543803691864,0
0.0001,159,,,,
,159,1.9030706882476807,1.085318922996521,0.8177517652511597,0
0.0001,169,,,,
,169,1.7403061389923096,0.9954384565353394,0.744867742061615,0
0.0001,179,,,,
,179,2.269583225250244,1.495867133140564,0.7737162113189697,0
0.0001,189,,,,
,189,1.5772199630737305,0.7675425410270691,0.8096774816513062,0
