lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch
0.0001,6229,,,,,,,
,6229,1.493262767791748,0.6163238286972046,0.8769388794898987,15,,,
0.0001,6239,,,,,,,
,6239,1.634950876235962,0.7214354276657104,0.9135153889656067,15,,,
0.0001,6249,,,,,,,
,6249,1.4024864435195923,0.6110841631889343,0.791402280330658,15,,,
0.0001,6259,,,,,,,
,6259,1.2277376651763916,0.43297576904296875,0.7947619557380676,15,,,
0.0001,6269,,,,,,,
,6269,1.5515587329864502,0.7551382780075073,0.7964203953742981,15,,,
0.0001,6279,,,,,,,
,6279,1.3323066234588623,0.6046177744865417,0.7276887893676758,15,,,
0.0001,6289,,,,,,,
,6289,1.4943351745605469,0.6328458189964294,0.8614893555641174,15,,,
0.0001,6299,,,,,,,
,6299,1.3179965019226074,0.5742819309234619,0.7437145113945007,15,,,
0.0001,6309,,,,,,,
,6309,1.4954801797866821,0.6292505264282227,0.8662296533584595,15,,,
0.0001,6319,,,,,,,
,6319,1.4319052696228027,0.6605101823806763,0.7713950276374817,15,,,
0.0001,6329,,,,,,,
,6329,1.860695719718933,1.0340694189071655,0.8266263008117676,15,,,
0.0001,6339,,,,,,,
,6339,1.4605804681777954,0.7143970727920532,0.7461833953857422,15,,,
0.0001,6349,,,,,,,
,6349,1.464958667755127,0.7000656127929688,0.7648930549621582,15,,,
0.0001,6359,,,,,,,
,6359,1.218299150466919,0.5244168043136597,0.693882405757904,15,,,
0.0001,6369,,,,,,,
,6369,1.3310590982437134,0.6214520931243896,0.7096070051193237,15,,,
0.0001,6379,,,,,,,
,6379,1.2853736877441406,0.5852901339530945,0.7000836133956909,15,,,
0.0001,6389,,,,,,,
,6389,1.3489806652069092,0.5458893775939941,0.8030912280082703,15,,,
0.0001,6399,,,,,,,
,6399,1.2975611686706543,0.5560375452041626,0.7415236830711365,15,,,
0.0001,6409,,,,,,,
,6409,1.5571746826171875,0.6962988376617432,0.8608757853507996,15,,,
0.0001,6419,,,,,,,
,6419,1.460561752319336,0.6955231428146362,0.7650386095046997,15,,,
0.0001,6429,,,,,,,
,6429,1.330052375793457,0.5361087918281555,0.7939436435699463,15,,,
0.0001,6439,,,,,,,
,6439,1.2587395906448364,0.5166932940483093,0.7420462965965271,15,,,
0.0001,6449,,,,,,,
,6449,1.3840957880020142,0.65403813123703,0.7300576567649841,15,,,
0.0001,6459,,,,,,,
,6459,1.2261104583740234,0.4782187342643738,0.7478917241096497,15,,,
0.0001,6469,,,,,,,
,6469,1.4522926807403564,0.5970670580863953,0.8552256226539612,15,,,
0.0001,6479,,,,,,,
,6479,1.3449363708496094,0.6063774228096008,0.7385588884353638,15,,,
0.0001,6489,,,,,,,
,6489,1.4247112274169922,0.5803312659263611,0.8443800210952759,15,,,
0.0001,6499,,,,,,,
,6499,1.454357385635376,0.6698695421218872,0.784487783908844,15,,,
0.0001,6509,,,,,,,
,6509,1.361889123916626,0.6413284540176392,0.720560610294342,15,,,
0.0001,6519,,,,,,,
,6519,1.1942659616470337,0.4793283939361572,0.7149375677108765,15,,,
0.0001,6529,,,,,,,
,6529,1.259863018989563,0.5006476640701294,0.7592153549194336,15,,,
0.0001,6539,,,,,,,
,6539,1.670769214630127,0.840600311756134,0.8301688432693481,15,,,
0.0001,6549,,,,,,,
,6549,1.3569011688232422,0.6406406164169312,0.7162606120109558,15,,,
0.0001,6559,,,,,,,
,6559,1.1855251789093018,0.4889853298664093,0.6965398192405701,15,,,
0.0001,6569,,,,,,,
,6569,1.4004287719726562,0.6304206848144531,0.7700080871582031,15,,,
0.0001,6579,,,,,,,
,6579,1.5224189758300781,0.6662352681159973,0.8561837077140808,15,,,
0.0001,6589,,,,,,,
