folder_name,mp_id,element,site_id,is_ionic,source_path,quality_tier
mp_1223109_La4FeCoO43__feff_Fe_site_01,1223109,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1223109_La4FeCoO43__feff_Fe_site_01,A
mp_1223137_La3SmFeO34__feff_Fe_site_01,1223137,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1223137_La3SmFeO34__feff_Fe_site_01,A
mp_1224545_In2FeSbO7__feff_Fe_site_01,1224545,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1224545_In2FeSbO7__feff_Fe_site_01,A
mp_1227865_Ca4Fe5Si3O142__feff_Fe_site_01,1227865,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1227865_Ca4Fe5Si3O142__feff_Fe_site_01,A
mp_1229026_Al2Fe2Bi2O9__feff_Fe_site_01,1229026,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1229026_Al2Fe2Bi2O9__feff_Fe_site_01,C
mp_1233316_MgFe2O34__feff_Fe_site_01,1233316,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1233316_MgFe2O34__feff_Fe_site_01,A
mp_1233468_MgFe6Sb10IO36__feff_Fe_site_01,1233468,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1233468_MgFe6Sb10IO36__feff_Fe_site_01,A
mp_1234958_MgTi3Fe2CoPO46__feff_Fe_site_01,1234958,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1234958_MgTi3Fe2CoPO46__feff_Fe_site_01,B
mp_1272866_La2MgFeO6__feff_Fe_site_01,1272866,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1272866_La2MgFeO6__feff_Fe_site_01,A
mp_1289222_Mg2FeIrO6__feff_Fe_site_01,1289222,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1289222_Mg2FeIrO6__feff_Fe_site_01,A
mp_1368023_Li4Cr3Fe3SnO82__feff_Fe_site_02,1368023,Fe,02,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1368023_Li4Cr3Fe3SnO82__feff_Fe_site_02,B
mp_1374596_Fe4H14O13__feff_Fe_site_01,1374596,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1374596_Fe4H14O13__feff_Fe_site_01,A
mp_1386508_MgFeO22__feff_Fe_site_01,1386508,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1386508_MgFeO22__feff_Fe_site_01,C
mp_1416093_YFeO3__feff_Fe_site_01,1416093,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1416093_YFeO3__feff_Fe_site_01,A
mp_1517804_BaNdEuFeO6__feff_Fe_site_01,1517804,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1517804_BaNdEuFeO6__feff_Fe_site_01,A
mp_1518226_KLaSmFeO6__feff_Fe_site_01,1518226,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1518226_KLaSmFeO6__feff_Fe_site_01,A
mp_1518428_KPrYFeO6__feff_Fe_site_01,1518428,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1518428_KPrYFeO6__feff_Fe_site_01,A
mp_1518988_NdEuZrFeO6__feff_Fe_site_01,1518988,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1518988_NdEuZrFeO6__feff_Fe_site_01,A
mp_1520482_KEuFeSnO6__feff_Fe_site_01,1520482,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1520482_KEuFeSnO6__feff_Fe_site_01,A
mp_1573889_Na2FeO3__feff_Fe_site_01,1573889,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1573889_Na2FeO3__feff_Fe_site_01,C
mp_1640734_YFeWO42__feff_Fe_site_01,1640734,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1640734_YFeWO42__feff_Fe_site_01,A
