,,,R_factor,R_factor,R_factor,Pearson,Pearson,Pearson,RMSE,RMSE,RMSE,MAE,MAE,MAE
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count
kind,reference,compared_to,,,,,,,,,,,,
chi,orig,pred,1.079239494003046,1.0055703631513573,16,0.05721209304090176,0.09585534085922362,16,0.25500959094796155,0.11095159939164129,16,0.10125918852171067,0.05731908477915548,16
chi,orig,true,2.457913330628408e+22,1.1368938719268353,11,0.15204600127088258,0.1458622195780551,11,670743667.8805315,0.11347150024803959,11,503988788.9727007,0.05702605617217798,11
chi,true,pred,1.9935796648710307,1.0119813172745642,11,0.027223147608164244,0.05447657229207092,11,657092161.4542832,0.06358709270768802,11,481613582.52222216,0.03909005923464925,11
xmu,orig,pred,0.021664486984757952,0.010834879294352912,16,0.7344426525967478,0.8413174324495345,16,0.09012067363123455,0.08115241481754777,16,0.04147051876125518,0.037760070907255944,16
xmu,orig,true,6.042120440808493e+18,0.01642181045626389,11,0.5706618366219662,0.7434486474187694,11,622343181.0980332,0.1125296149747693,11,453744275.4609072,0.04732445072682839,11
xmu,true,pred,0.19910522699514852,0.011813744101421164,11,0.7181292613991554,0.8624849452438217,11,621664636.9435356,0.09378476266490308,11,454087285.6356523,0.05795740023301267,11
