candidate,threshold,n_samples,mean_n_shells_in_6A,median_n_shells_in_6A,mean_shell1_n_atoms,median_shell1_n_atoms,mean_shell1_outer,mean_shell2_outer,isolated_single_pct,over_merged_pct
p10 (p90 cut),0.1563,102660,6.730001948178453,7.0,4.577332943697643,4.0,2.2354371216552384,3.0771964868908532,11.192904348228836,0.6243911942333917
p15 (p85 cut),0.1047,102660,9.665020455873758,10.0,4.070699396064679,4.0,2.2073551112863954,2.90653550343023,15.625607859618569,0.049678550555230856
p20 (p80 cut),0.0762,102660,12.620806545879603,13.0,3.739099941554646,3.0,2.1921449103197252,2.812972674551192,20.337559776853663,0.0038963569062926166
empirical 0.30,0.3,102660,3.762156633547633,4.0,9.85081823495032,4.0,2.4090767786385787,4.4799714677337175,6.782610046527524,6.97058250535749
