feature_name,median,iqr,q1,q3,min,max,n_nan_before_impute
xmu_Emin,4968.9735,18468.743499999997,533.142,19001.885499999997,18.934,122276.476,0
xmu_Emax,6492.967500000001,18468.745,2057.13,20525.875,1542.918,123800.47,0
xmu_npts,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,0
E0,4981.320724499999,18470.804408174998,556.153669325,19026.9580775,25.79535868,122285.5188,0
mu_at_E0,-0.37159153899999997,0.96207880525,-1.07064504675,-0.1085662415,-3397.797559,57.59027747,0
dmu_max,0.121192918,0.148841453,0.069220763,0.218062216,0.0062339,160.7877246,0
pre_peak_E,4070.761276,15614.06637135,540.33071365,16154.397085,18.934,122283.994,32555
pre_peak_I,0.0,0.55640403225,-0.16131987925,0.395084153,-756.1506024,203.2759935,32555
white_line_E,4997.533587,18472.521303475,566.8567965249999,19039.3781,45.61706153,122305.3406,0
white_line_I,0.140182846,0.52852938375,-0.07212073725000001,0.4564086465,-1209.24644,85.25551119,0
post_peak1_E,5007.702408499999,18439.359307299997,610.5546627,19049.913969999998,85.26046723,122344.9843,0
post_peak1_I,0.053641285,0.29507974299999995,-0.0205910585,0.27448868449999997,-328.1056649,34.49787942,0
d1_pre_E,4981.320724499999,18470.804408174998,556.153669325,19026.9580775,25.79535868,122285.5188,0
d1_pre_I,0.121192918,0.148841453,0.069220763,0.218062216,0.0062339,160.7877246,0
d1_post_E,4992.253569,18469.705410575,561.715339425,19031.42075,36.46858329,122287.8059,0
