lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch
0.0001,9,,,,
,9,9.092778205871582,8.070252418518066,1.0225261449813843,0
0.0001,19,,,,
,19,28.2916259765625,27.451011657714844,0.8406143188476562,0
0.0001,29,,,,
,29,3.889038562774658,3.057856559753418,0.8311818838119507,0
0.0001,39,,,,
,39,4.365180015563965,3.5720818042755127,0.7930980324745178,0
0.0001,49,,,,
,49,4.423293113708496,3.659435987472534,0.763857364654541,0
0.0001,59,,,,
,59,2.916116952896118,2.1149704456329346,0.8011464476585388,0
0.0001,69,,,,
,69,4.327367782592773,3.4655027389526367,0.8618649840354919,0
0.0001,79,,,,
,79,10.752575874328613,9.949764251708984,0.802811861038208,0
0.0001,89,,,,
,89,4.251441955566406,3.4321489334106445,0.8192929029464722,0
0.0001,99,,,,
,99,3.314610719680786,2.4954936504364014,0.8191171288490295,0
0.0001,109,,,,
,109,1.8753349781036377,1.13785982131958,0.7374750971794128,0
0.0001,119,,,,
,119,2.2888636589050293,1.6139726638793945,0.6748910546302795,0
0.0001,129,,,,
,129,2.719719648361206,1.9661237001419067,0.7535958886146545,0
0.0001,139,,,,
,139,3.015413999557495,2.1054089069366455,0.9100051522254944,0
0.0001,149,,,,
,149,2.5593299865722656,1.8113493919372559,0.7479806542396545,0
0.0001,159,,,,
,159,1.909071922302246,1.1060492992401123,0.803022563457489,0
0.0001,169,,,,
,169,1.657853126525879,0.9014126658439636,0.7564405202865601,0
0.0001,179,,,,
,179,1.8198037147521973,1.0121591091156006,0.8076446652412415,0
0.0001,189,,,,
,189,1.822479248046875,1.1427234411239624,0.6797558069229126,0
0.0001,199,,,,
,199,1.890834093093872,1.1326286792755127,0.7582053542137146,0
0.0001,209,,,,
,209,1.5170706510543823,0.7848464250564575,0.7322242259979248,0
0.0001,219,,,,
,219,1.870807409286499,0.954797625541687,0.9160097241401672,0
0.0001,229,,,,
,229,1.5845873355865479,0.8467068672180176,0.7378804087638855,0
0.0001,239,,,,
,239,1.7005791664123535,0.8947503566741943,0.805828869342804,0
0.0001,249,,,,
,249,1.6947821378707886,0.906266987323761,0.7885151505470276,0
0.0001,259,,,,
,259,1.917839527130127,1.112858533859253,0.8049809336662292,0
