lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,type_ce_loss_step,total_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,density_loss_epoch,type_ce_loss_epoch,total_loss_epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_density_loss,val_type_ce_loss,val_total_loss
0.0001,0,,,,,,,,,,,,,,,,,,,,,,
,9,3.330787420272827,6.745899200439453,1.0503019094467163,0.059904079884290695,0.0848638117313385,4.356298923492432,3.330787420272827,0,,,,,,,,,,,,,,
,19,3.0975747108459473,7.415622234344482,0.9659872055053711,0.025126252323389053,0.08079393208026886,4.132128715515137,3.0975747108459473,0,,,,,,,,,,,,,,
,29,3.038020610809326,6.587008953094482,0.9937024712562561,0.01949063315987587,0.08007458597421646,3.9695801734924316,3.038020610809326,0,,,,,,,,,,,,,,
,39,2.8669016361236572,7.342288494110107,0.8666567802429199,0.026443712413311005,0.08153756707906723,3.8660645484924316,2.8669016361236572,0,,,,,,,,,,,,,,
,49,2.6841988563537598,7.048223972320557,0.8601793050765991,0.022172046825289726,0.08299184590578079,3.520703077316284,2.6841988563537598,0,,,,,,,,,,,,,,
,59,2.732794761657715,7.433076858520508,0.9366248846054077,0.019933631643652916,0.0819644182920456,3.470507860183716,2.732794761657715,0,,,,,,,,,,,,,,
,69,2.493687629699707,6.988593101501465,0.8244445323944092,0.019691236317157745,0.08157449960708618,3.217529296875,2.493687629699707,0,,,,,,,,,,,,,,
,79,2.507246255874634,6.9228515625,0.7410788536071777,0.030858198180794716,0.08199852705001831,3.388619899749756,2.507246255874634,0,,,,,,,,,,,,,,
,89,2.445873498916626,7.265247821807861,0.8793225884437561,0.029019596055150032,0.08114174753427505,2.9939208030700684,2.445873498916626,0,,,,,,,,,,,,,,
,99,2.545018196105957,7.555600643157959,0.9275568723678589,0.03435283899307251,0.07954701036214828,3.086669921875,2.545018196105957,0,,,,,,,,,,,,,,
,109,2.359354019165039,6.3231682777404785,0.8422814011573792,0.014348112978041172,0.08180376887321472,2.92364501953125,2.359354019165039,0,,,,,,,,,,,,,,
,119,2.3311142921447754,6.751163959503174,0.74842369556427,0.022439099848270416,0.07686265558004379,3.04364013671875,2.3311142921447754,0,,,,,,,,,,,,,,
,129,2.3294262886047363,6.909459590911865,0.7925953269004822,0.014958062209188938,0.08013460040092468,2.963610887527466,2.3294262886047363,0,,,,,,,,,,,,,,
,139,2.409162998199463,7.63856840133667,0.9050093293190002,0.029308637604117393,0.07819361239671707,2.8714966773986816,2.409162998199463,0,,,,,,,,,,,,,,
,149,2.303539752960205,7.8331146240234375,0.8378182649612427,0.014715803787112236,0.07843958586454391,2.8235716819763184,2.303539752960205,0,,,,,,,,,,,,,,
,159,2.3329532146453857,7.395811557769775,0.8324047327041626,0.01913786493241787,0.07843388617038727,2.884387254714966,2.3329532146453857,0,,,,,,,,,,,,,,
,169,2.09818696975708,7.212915897369385,0.7466599345207214,0.013427765108644962,0.07945747673511505,2.59674072265625,2.09818696975708,0,,,,,,,,,,,,,,
,179,2.2632699012756348,7.523253440856934,0.7647126317024231,0.026162682101130486,0.08133706450462341,2.863452196121216,2.2632699012756348,0,,,,,,,,,,,,,,
,189,2.1904544830322266,7.042966842651367,0.916206419467926,0.00740872323513031,0.08144494891166687,2.4522337913513184,2.1904544830322266,0,,,,,,,,,,,,,,
,199,2.2429535388946533,6.144502639770508,0.9191412329673767,0.008658680133521557,0.08388980478048325,2.546417236328125,2.2429535388946533,0,,,,,,,,,,,,,,
,209,2.0005412101745605,7.278781414031982,0.9113688468933105,0.012926377356052399,0.07647280395030975,2.076019287109375,2.0005412101745605,0,,,,,,,,,,,,,,
,219,2.2481656074523926,6.503634452819824,0.892727792263031,0.0069720069877803326,0.08653118461370468,2.610400438308716,2.2481656074523926,0,,,,,,,,,,,,,,
,229,2.241724729537964,7.105959892272949,0.916101336479187,0.03625169023871422,0.08238732814788818,2.496356248855591,2.241724729537964,0,,,,,,,,,,,,,,
,239,1.9993747472763062,6.917359352111816,0.8247615694999695,0.015945013612508774,0.08007433265447617,2.237262010574341,1.9993747472763062,0,,,,,,,,,,,,,,
,249,2.0389621257781982,7.721410274505615,0.8832465410232544,0.017176754772663116,0.07851818948984146,2.198559522628784,2.0389621257781982,0,,,,,,,,,,,,,,
,259,2.098224639892578,7.394545555114746,0.8232823014259338,0.014847061596810818,0.08382290601730347,2.4363677501678467,2.098224639892578,0,,,,,,,,,,,,,,
,269,2.2398979663848877,6.856853008270264,0.8476057648658752,0.01145778875797987,0.08158447593450546,2.680084228515625,2.2398979663848877,0,,,,,,,,,,,,,,
,279,2.023270845413208,7.084935188293457,0.7966448068618774,0.025874348357319832,0.07883794605731964,2.3226654529571533,2.023270845413208,0,,,,,,,,,,,,,,
,289,2.1208088397979736,7.553987503051758,0.7931721210479736,0.011879404075443745,0.07979946583509445,2.551715135574341,2.1208088397979736,0,,,,,,,,,,,,,,
,299,1.975029706954956,6.200189590454102,0.8761252760887146,0.017950667068362236,0.08142063766717911,2.080487012863159,1.975029706954956,0,,,,,,,,,,,,,,
,309,1.9897830486297607,7.621161460876465,0.8086086511611938,0.01391695998609066,0.08611701428890228,2.2483978271484375,1.9897830486297607,0,,,,,,,,,,,,,,
,319,2.052518367767334,7.454140663146973,0.8903306722640991,0.00960182398557663,0.07961291074752808,2.2255585193634033,2.052518367767334,0,,,,,,,,,,,,,,
,329,1.9767143726348877,6.264246463775635,0.8420820236206055,0.028526663780212402,0.07794483751058578,2.1342666149139404,1.9767143726348877,0,,,,,,,,,,,,,,
,339,2.0892133712768555,7.637258052825928,0.8868759870529175,0.014697124250233173,0.08299533277750015,2.292285203933716,2.0892133712768555,0,,,,,,,,,,,,,,
,349,1.8773469924926758,6.940788745880127,0.8066372275352478,0.018823936581611633,0.08035840839147568,2.0234131813049316,1.8773469924926758,0,,,,,,,,,,,,,,
,359,2.0033297538757324,7.007857322692871,0.8982685804367065,0.010052526369690895,0.07930409163236618,2.110713243484497,2.0033297538757324,0,,,,,,,,,,,,,,
,369,2.097059726715088,6.420764446258545,0.8021091818809509,0.020138463005423546,0.07861905544996262,2.4710052013397217,2.097059726715088,0,,,,,,,,,,,,,,
,379,2.0280234813690186,6.625039577484131,0.9327870607376099,0.016053728759288788,0.08288778364658356,2.0754776000976562,2.0280234813690186,0,,,,,,,,,,,,,,
,389,2.2247681617736816,6.729935169219971,0.8181142210960388,0.02731243707239628,0.08162452280521393,2.677058458328247,2.2247681617736816,0,,,,,,,,,,,,,,
,399,2.1191835403442383,6.691201210021973,0.897020161151886,0.01032318826764822,0.08500691503286362,2.3386733531951904,2.1191835403442383,0,,,,,,,,,,,,,,
,409,2.197564125061035,6.326140403747559,0.9334070086479187,0.011456957086920738,0.08253045380115509,2.422869920730591,2.197564125061035,0,,,,,,,,,,,,,,
,419,1.8964942693710327,6.581120491027832,0.8873190879821777,0.008413288742303848,0.08121119439601898,1.920312523841858,1.8964942693710327,0,,,,,,,,,,,,,,
,429,1.8176627159118652,7.189220905303955,0.8345834612846375,0.012890098616480827,0.07502172887325287,1.8653564453125,1.8176627159118652,0,,,,,,,,,,,,,,
,439,1.9847569465637207,6.773861408233643,0.8550272583961487,0.02712656743824482,0.08379214257001877,2.1214141845703125,1.9847569465637207,0,,,,,,,,,,,,,,
,449,1.954841136932373,6.973258018493652,0.9343622922897339,0.012509296648204327,0.08203427493572235,1.933905005455017,1.954841136932373,0,,,,,,,,,,,,,,
,459,2.139484167098999,6.984870910644531,0.8105519413948059,0.01336595043540001,0.08366570621728897,2.547466993331909,2.139484167098999,0,,,,,,,,,,,,,,
,469,1.8531193733215332,7.475610733032227,0.8392581343650818,0.009577673859894276,0.08267155289649963,1.9258956909179688,1.8531193733215332,0,,,,,,,,,,,,,,
,473,,,,,,,,0,2.2817747592926025,7.067479610443115,0.884570300579071,0.01952970027923584,0.08139976114034653,2.6739470958709717,2.2817747592926025,,,,,,,
9.999902291237878e-05,474,,,,,,,,,,,,,,,,,,,,,,
,479,1.9333529472351074,7.8694024085998535,0.8507500886917114,0.012107178568840027,0.07846388965845108,2.0625274181365967,1.9333529472351074,1,,,,,,,,,,,,,,
,489,2.3161497116088867,7.002208232879639,0.941434919834137,0.046939700841903687,0.08074094355106354,2.5748093128204346,2.3161497116088867,1,,,,,,,,,,,,,,
,499,1.8701684474945068,7.90991735458374,0.8412682414054871,0.029136106371879578,0.08233702927827835,1.9171912670135498,1.8701684474945068,1,,,,,,,,,,,,,,
,509,2.076399326324463,6.49635648727417,0.8706400990486145,0.009472385980188847,0.07933107763528824,2.3132424354553223,2.076399326324463,1,,,,,,,,,,,,,,
,519,1.8756797313690186,7.19025182723999,0.8621991872787476,0.013178462162613869,0.07710477709770203,1.923499345779419,1.8756797313690186,1,,,,,,,,,,,,,,
,529,1.9863076210021973,6.842525959014893,0.9172479510307312,0.008591822348535061,0.08729472756385803,2.0336410999298096,1.9863076210021973,1,,,,,,,,,,,,,,
,539,2.0443997383117676,6.870255470275879,0.8435928821563721,0.008048429153859615,0.07571015506982803,2.3098068237304688,2.0443997383117676,1,,,,,,,,,,,,,,
,549,1.9029583930969238,6.832286357879639,0.9196159243583679,0.009772434830665588,0.081588514149189,1.8655517101287842,1.9029583930969238,1,,,,,,,,,,,,,,
,559,1.7607312202453613,7.420967102050781,0.7949130535125732,0.014762969687581062,0.08240100741386414,1.8197094202041626,1.7607312202453613,1,,,,,,,,,,,,,,
,569,1.9736127853393555,7.023428916931152,0.884448230266571,0.011175284162163734,0.07955869287252426,2.0764198303222656,1.9736127853393555,1,,,,,,,,,,,,,,
,579,1.9931795597076416,6.791301727294922,0.7873123288154602,0.013227000832557678,0.07985988259315491,2.3054206371307373,1.9931795597076416,1,,,,,,,,,,,,,,
,589,1.8872029781341553,7.857547283172607,0.8221005797386169,0.021637817844748497,0.07852455973625183,2.008404493331909,1.8872029781341553,1,,,,,,,,,,,,,,
,599,1.8900668621063232,7.512566566467285,0.7632319331169128,0.025977257639169693,0.08085372298955917,2.120861768722534,1.8900668621063232,1,,,,,,,,,,,,,,
,609,1.8219490051269531,7.676693439483643,0.8482434749603271,0.03628119081258774,0.08184447139501572,1.7930042743682861,1.8219490051269531,1,,,,,,,,,,,,,,
,619,1.87575101852417,6.516364097595215,0.6889170408248901,0.014298276044428349,0.07918979972600937,2.2658817768096924,1.87575101852417,1,,,,,,,,,,,,,,
,629,2.0976853370666504,7.309060096740723,0.7907721996307373,0.015565160661935806,0.08109396696090698,2.5016019344329834,2.0976853370666504,1,,,,,,,,,,,,,,
,639,1.9804415702819824,7.40919828414917,0.909319281578064,0.012744229286909103,0.08119916915893555,2.0355567932128906,1.9804415702819824,1,,,,,,,,,,,,,,
,649,2.1032555103302,6.214227199554443,0.8965572714805603,0.01875890977680683,0.08040431886911392,2.2954745292663574,2.1032555103302,1,,,,,,,,,,,,,,
,659,1.8933228254318237,7.396004676818848,0.8485108017921448,0.018427984789013863,0.08241289854049683,1.9703552722930908,1.8933228254318237,1,,,,,,,,,,,,,,
,669,2.110926866531372,7.035513401031494,0.9924232363700867,0.0065146018750965595,0.08049620687961578,2.143481731414795,2.110926866531372,1,,,,,,,,,,,,,,
,679,1.8922467231750488,6.657737731933594,0.9281152486801147,0.004973334725946188,0.08032415062189102,1.8379920721054077,1.8922467231750488,1,,,,,,,,,,,,,,
,689,1.7964134216308594,7.091628551483154,0.8456073999404907,0.008199487812817097,0.08439334481954575,1.800819754600525,1.7964134216308594,1,,,,,,,,,,,,,,
,699,1.8115859031677246,7.0030436515808105,0.7752640247344971,0.008310630917549133,0.0811920315027237,1.9748306274414062,1.8115859031677246,1,,,,,,,,,,,,,,
