folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_diff_std,chi_zero_cross,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1008929_FeN__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008929_FeN__feff_Fe_site_01,mp_1008929,FeN_,01,True,True,True,0.08776149542780691,36,True,ok,True,ok
mp_1009019_FeN__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009019_FeN__feff_Fe_site_01,mp_1009019,FeN_,01,True,True,True,0.09280029591871745,40,True,ok,True,ok
mp_1009077_FeH_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009077_FeH_feff_Fe_site_01,mp_1009077,FeH,01,True,True,True,0.09996944030344017,41,True,ok,True,ok
mp_1009134_MnFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009134_MnFe_feff_Fe_site_01,mp_1009134,MnFe,01,True,True,True,0.08577524431895443,35,True,ok,True,ok
mp_1009592_CrFeTe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009592_CrFeTe_feff_Fe_site_01,mp_1009592,CrFeTe,01,True,True,True,0.06227688459246518,31,True,ok,True,ok
mp_1011260_EuFeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1011260_EuFeO3__feff_Fe_site_01,mp_1011260,EuFeO3_,01,True,True,True,0.05243565803672954,34,True,ok,True,ok
mp_1012640_CrFeCoNi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1012640_CrFeCoNi_feff_Fe_site_01,mp_1012640,CrFeCoNi,01,True,True,True,0.0753106699043144,33,True,ok,True,ok
mp_1012640_CrFeCoNi_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1012640_CrFeCoNi_feff_Fe_site_02,mp_1012640,CrFeCoNi,02,True,True,True,0.07612530735490224,31,True,ok,True,ok
mp_1013849_Li3Fe2GeO43__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013849_Li3Fe2GeO43__feff_Fe_site_01,mp_1013849,Li3Fe2GeO43_,01,True,True,True,0.049665941554109014,26,True,ok,True,ok
mp_1013864_Na3Fe2GeO43__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013864_Na3Fe2GeO43__feff_Fe_site_01,mp_1013864,Na3Fe2GeO43_,01,True,True,True,0.04720342501736214,31,True,ok,True,ok
