N,n_valid,miss_rate_pct,cutoff_mean_A,cutoff_median_A,cutoff_max_A
12,190,5.0,3.3240364162080462,3.3797531546970996,3.9911946952450386
14,172,14.000000000000002,3.4825991603581183,3.5193365134015675,3.9985943416853544
16,144,28.000000000000004,3.6028284808883475,3.6087650028996006,3.985976935716172
18,132,34.0,3.6760134885560007,3.6875352907738463,3.993311312102078
20,114,43.0,3.7577921838011434,3.768833930868335,3.9947828880122063
22,83,58.5,3.7806093096261,3.780045741429548,3.9974422966899272
24,68,66.0,3.826151380911286,3.8465536533463673,3.9791655011987537
