lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch
0.0001,9,,,,,,,
,9,15.95557975769043,15.039161682128906,0.9164184331893921,0,,,
0.0001,19,,,,,,,
,19,6.21455192565918,5.309675216674805,0.904876708984375,0,,,
0.0001,29,,,,,,,
,29,4.426941871643066,3.702284336090088,0.7246573567390442,0,,,
0.0001,39,,,,,,,
,39,5.25820255279541,4.445168495178223,0.8130342960357666,0,,,
0.0001,49,,,,,,,
,49,3.5575039386749268,2.6981678009033203,0.8593360781669617,0,,,
0.0001,59,,,,,,,
,59,4.546802520751953,3.7078094482421875,0.8389930725097656,0,,,
0.0001,69,,,,,,,
,69,4.0619215965271,3.2635719776153564,0.7983496785163879,0,,,
0.0001,79,,,,,,,
,79,2.6738295555114746,1.890607476234436,0.7832221388816833,0,,,
0.0001,89,,,,,,,
,89,1.8785088062286377,1.0722814798355103,0.8062273859977722,0,,,
0.0001,99,,,,,,,
,99,2.905362606048584,2.0342462062835693,0.8711165189743042,0,,,
0.0001,109,,,,,,,
,109,2.5259509086608887,1.6937938928604126,0.8321570158004761,0,,,
0.0001,119,,,,,,,
,119,2.0157899856567383,1.1695228815078735,0.84626704454422,0,,,
0.0001,129,,,,,,,
,129,2.3478503227233887,1.6136322021484375,0.734218180179596,0,,,
0.0001,139,,,,,,,
,139,2.299833059310913,1.5147336721420288,0.785099446773529,0,,,
0.0001,149,,,,,,,
,149,2.0797505378723145,1.2887879610061646,0.7909625172615051,0,,,
0.0001,159,,,,,,,
,159,2.394376277923584,1.65114426612854,0.7432318925857544,0,,,
0.0001,169,,,,,,,
,169,2.449556827545166,1.6583459377288818,0.7912108302116394,0,,,
0.0001,179,,,,,,,
,179,1.8908770084381104,1.097311019897461,0.7935659885406494,0,,,
0.0001,189,,,,,,,
,189,3.137691020965576,2.287121295928955,0.8505696654319763,0,,,
0.0001,199,,,,,,,
,199,1.7396659851074219,1.0715669393539429,0.6680991053581238,0,,,
0.0001,209,,,,,,,
,209,1.978779673576355,1.2161754369735718,0.7626042366027832,0,,,
0.0001,219,,,,,,,
,219,1.8220772743225098,0.994644284248352,0.8274329900741577,0,,,
0.0001,229,,,,,,,
,229,2.8376872539520264,2.004751682281494,0.8329355716705322,0,,,
0.0001,239,,,,,,,
,239,1.5469118356704712,0.8086294531822205,0.7382823824882507,0,,,
0.0001,249,,,,,,,
,249,1.7334678173065186,0.9300534129142761,0.8034144043922424,0,,,
0.0001,259,,,,,,,
,259,6.045087814331055,5.244068622589111,0.8010194301605225,0,,,
0.0001,269,,,,,,,
,269,1.7985761165618896,0.99764484167099,0.8009313344955444,0,,,
0.0001,279,,,,,,,
,279,1.438612937927246,0.704731822013855,0.7338811755180359,0,,,
0.0001,289,,,,,,,
,289,1.7443450689315796,0.9446206092834473,0.7997244596481323,0,,,
0.0001,299,,,,,,,
,299,2.2241296768188477,1.3676202297210693,0.8565093278884888,0,,,
0.0001,309,,,,,,,
,309,1.500148892402649,0.7306804656982422,0.7694684267044067,0,,,
0.0001,319,,,,,,,
,319,1.6654434204101562,0.8194370269775391,0.846006453037262,0,,,
0.0001,329,,,,,,,
,329,1.746335506439209,0.9494561553001404,0.7968792915344238,0,,,
0.0001,339,,,,,,,
,339,2.3896570205688477,1.5876390933990479,0.8020179867744446,0,,,
0.0001,349,,,,,,,
,349,1.7584203481674194,0.8834658265113831,0.8749545216560364,0,,,
0.0001,359,,,,,,,
,359,1.907712459564209,1.1052122116088867,0.8025001883506775,0,,,
0.0001,369,,,,,,,
