lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss
0.0001,0,,,,,,,,,,,,,
,9,2.2386298179626465,68.04965209960938,1.139392614364624,1.099237084388733,0,,,,,,,,
,19,2.068992853164673,66.8796157836914,1.0362637042999268,1.032729148864746,0,,,,,,,,
,29,2.0523407459259033,66.18680572509766,1.042675256729126,1.0096654891967773,0,,,,,,,,
,39,1.9937360286712646,64.10855865478516,1.0046974420547485,0.9890385270118713,0,,,,,,,,
,49,1.969426155090332,65.73526763916016,0.9826875329017639,0.9867386221885681,0,,,,,,,,
,59,1.9720966815948486,64.15616607666016,1.0206574201583862,0.9514392614364624,0,,,,,,,,
,69,1.9305870532989502,63.86056900024414,0.9610767960548401,0.9695101976394653,0,,,,,,,,
,79,1.9185019731521606,63.02051544189453,0.9672872424125671,0.9512147307395935,0,,,,,,,,
,89,1.9642030000686646,62.67507553100586,1.037010669708252,0.9271923303604126,0,,,,,,,,
,99,1.9630677700042725,64.69486236572266,1.0585370063781738,0.9045307040214539,0,,,,,,,,
,109,1.8820655345916748,68.60008239746094,0.9652064442634583,0.9168590903282166,0,,,,,,,,
,119,1.886244773864746,63.56200408935547,1.0015981197357178,0.8846465945243835,0,,,,,,,,
,129,1.8639857769012451,77.4533920288086,0.9817697405815125,0.8822159767150879,0,,,,,,,,
,139,1.8723652362823486,58.72531509399414,1.0655049085617065,0.8068602681159973,0,,,,,,,,
,149,1.763800859451294,48.54669189453125,1.0061190128326416,0.7576819062232971,0,,,,,,,,
,159,1.769012212753296,52.73630142211914,1.0161128044128418,0.7528993487358093,0,,,,,,,,
,169,1.7754511833190918,57.26156997680664,1.0280965566635132,0.7473546266555786,0,,,,,,,,
,179,1.6428945064544678,33.80946731567383,1.0026359558105469,0.6402584910392761,0,,,,,,,,
,189,1.8030850887298584,45.25954055786133,1.063340425491333,0.7397446036338806,0,,,,,,,,
,199,1.7924582958221436,35.4791145324707,1.1365983486175537,0.6558600068092346,0,,,,,,,,
,209,1.7438127994537354,43.861236572265625,1.0688196420669556,0.674993097782135,0,,,,,,,,
,219,1.6706171035766602,45.48264694213867,1.0095146894454956,0.6611024737358093,0,,,,,,,,
,229,1.6833125352859497,41.67159652709961,1.0350806713104248,0.6482318639755249,0,,,,,,,,
,239,1.519996166229248,31.521183013916016,0.9807978272438049,0.5391983985900879,0,,,,,,,,
,249,1.6532261371612549,36.59389877319336,1.0786762237548828,0.5745498538017273,0,,,,,,,,
,259,1.5553429126739502,25.30741310119629,1.0322195291519165,0.5231234431266785,0,,,,,,,,
,269,1.5975184440612793,32.46853256225586,1.0661795139312744,0.5313389897346497,0,,,,,,,,
,279,1.5932561159133911,30.023406982421875,1.0940697193145752,0.49918636679649353,0,,,,,,,,
,289,1.5009560585021973,21.941781997680664,1.088875651359558,0.4120803475379944,0,,,,,,,,
,299,1.3940138816833496,21.396583557128906,1.0023515224456787,0.3916623294353485,0,,,,,,,,
,309,1.5001506805419922,32.286842346191406,1.0162972211837769,0.48385342955589294,0,,,,,,,,
,319,1.481532335281372,30.929155349731445,1.041459560394287,0.4400727152824402,0,,,,,,,,
,329,1.4592026472091675,24.079957962036133,1.0574675798416138,0.4017350375652313,0,,,,,,,,
,339,1.4586493968963623,33.267581939697266,1.02121102809906,0.43743836879730225,0,,,,,,,,
,349,1.3515081405639648,19.433923721313477,1.0150049924850464,0.33650320768356323,0,,,,,,,,
,359,1.3535720109939575,24.171600341796875,1.012729287147522,0.34084272384643555,0,,,,,,,,
,369,1.3705241680145264,17.767358779907227,1.0607898235321045,0.3097343146800995,0,,,,,,,,
,379,1.3486902713775635,30.561540603637695,0.9859538078308105,0.3627364933490753,0,,,,,,,,
,389,1.3791882991790771,23.298831939697266,1.0388773679733276,0.3403109908103943,0,,,,,,,,
,399,1.4186596870422363,32.55507278442383,1.022615909576416,0.3960437476634979,0,,,,,,,,
,409,1.298227310180664,15.87311840057373,1.0472267866134644,0.25100046396255493,0,,,,,,,,
,419,1.3794145584106445,22.33745765686035,1.0248234272003174,0.3545911908149719,0,,,,,,,,
,429,1.264289379119873,15.817267417907715,0.9758189916610718,0.28847044706344604,0,,,,,,,,
,439,1.2199815511703491,16.57021141052246,0.9817396402359009,0.23824191093444824,0,,,,,,,,
,449,1.2511851787567139,16.3111515045166,1.0106767416000366,0.24050842225551605,0,,,,,,,,
,459,1.209606647491455,17.910226821899414,0.9483380913734436,0.2612685561180115,0,,,,,,,,
,469,1.3956925868988037,29.53181266784668,1.0439902544021606,0.3517022728919983,0,,,,,,,,
,473,,,,,0,1.6533801555633545,41.31730270385742,1.0258818864822388,0.6274985671043396,,,,
9.999902291237878e-05,474,,,,,,,,,,,,,
,479,1.2340514659881592,25.358152389526367,0.9573243260383606,0.2767271101474762,1,,,,,,,,
,489,1.3173000812530518,29.664371490478516,1.0024219751358032,0.3148781359195709,1,,,,,,,,
,499,1.2815011739730835,26.445640563964844,0.9864740371704102,0.29502713680267334,1,,,,,,,,
,509,1.1834508180618286,13.845985412597656,0.9799395799636841,0.2035112828016281,1,,,,,,,,
,519,1.3579182624816895,32.48207473754883,0.996025800704956,0.3618924617767334,1,,,,,,,,
,529,1.2297321557998657,16.160274505615234,1.0321069955825806,0.19762519001960754,1,,,,,,,,
,539,1.3122975826263428,28.75286865234375,0.9917815327644348,0.32051610946655273,1,,,,,,,,
,549,1.2567986249923706,23.989450454711914,0.9631125926971436,0.29368600249290466,1,,,,,,,,
,559,1.2716373205184937,24.22970962524414,1.0388789176940918,0.23275844752788544,1,,,,,,,,
,569,1.3124741315841675,24.656436920166016,1.0427218675613403,0.26975226402282715,1,,,,,,,,
,579,1.0974032878875732,13.556353569030762,0.9549878835678101,0.14241541922092438,1,,,,,,,,
,589,1.215172290802002,10.680813789367676,1.066293716430664,0.1488785594701767,1,,,,,,,,
,599,1.2359787225723267,26.732051849365234,1.003890037536621,0.23208868503570557,1,,,,,,,,
,609,1.0621272325515747,12.661961555480957,0.935608446598053,0.12651880085468292,1,,,,,,,,
,619,1.1783928871154785,12.71609878540039,1.0182902812957764,0.16010257601737976,1,,,,,,,,
,629,1.0980216264724731,15.409101486206055,0.9592642784118652,0.13875733315944672,1,,,,,,,,
,639,1.0512466430664062,11.495827674865723,0.9189721941947937,0.13227443397045135,1,,,,,,,,
,649,1.132439136505127,22.302799224853516,0.9148963689804077,0.21754279732704163,1,,,,,,,,
,659,1.0464657545089722,11.941205024719238,0.934535801410675,0.11192996799945831,1,,,,,,,,
,669,1.0507937669754028,11.87251091003418,0.9644836783409119,0.08631014078855515,1,,,,,,,,
,679,1.07382333278656,11.735126495361328,0.963944673538208,0.10987865924835205,1,,,,,,,,
,689,1.068125605583191,17.846216201782227,0.929900050163269,0.13822558522224426,1,,,,,,,,
,699,1.1258522272109985,13.430859565734863,1.0153186321258545,0.11053363233804703,1,,,,,,,,
,709,1.18809175491333,15.329803466796875,1.081640601158142,0.10645118355751038,1,,,,,,,,
,719,1.0817326307296753,14.984130859375,0.9426265954971313,0.13910605013370514,1,,,,,,,,
,729,1.0695773363113403,11.221731185913086,0.9839110970497131,0.08566618710756302,1,,,,,,,,
,739,1.1297661066055298,15.7514009475708,0.9743582010269165,0.15540793538093567,1,,,,,,,,
,749,1.080790638923645,13.38683032989502,1.010268211364746,0.07052240520715714,1,,,,,,,,
,759,1.0970224142074585,15.235404014587402,1.0027717351913452,0.09425072371959686,1,,,,,,,,
,769,1.0981720685958862,18.766218185424805,0.9320716857910156,0.16610035300254822,1,,,,,,,,
,779,1.057012915611267,10.023199081420898,0.988749086856842,0.06826386600732803,1,,,,,,,,
,789,1.0660823583602905,12.605531692504883,0.9915372729301453,0.07454513758420944,1,,,,,,,,
,799,1.0425667762756348,14.84843921661377,0.9245389699935913,0.11802782118320465,1,,,,,,,,
,809,1.0374515056610107,18.955665588378906,0.9224218130111694,0.11502967029809952,1,,,,,,,,
,819,1.1098772287368774,10.990641593933105,1.0073972940444946,0.10247989743947983,1,,,,,,,,
,829,1.0593279600143433,13.659120559692383,0.9587177038192749,0.10061027854681015,1,,,,,,,,
,839,1.1213605403900146,21.749773025512695,0.9483795762062073,0.17298093438148499,1,,,,,,,,
,849,1.0447452068328857,11.751619338989258,0.9707911610603333,0.0739540159702301,1,,,,,,,,
,859,1.0518760681152344,13.572373390197754,0.9472257494926453,0.10465026646852493,1,,,,,,,,
,869,1.122700572013855,28.05503273010254,0.9421247839927673,0.18057581782341003,1,,,,,,,,
,879,1.1209162473678589,14.147175788879395,1.0016173124313354,0.11929888278245926,1,,,,,,,,
,889,1.1114797592163086,19.44871711730957,0.9692288041114807,0.14225098490715027,1,,,,,,,,
,899,1.1783393621444702,14.752151489257812,1.040244460105896,0.13809488713741302,1,,,,,,,,
,909,1.0033137798309326,11.860722541809082,0.9499552249908447,0.05335850641131401,1,,,,,,,,
,919,1.113909125328064,21.493227005004883,0.924622654914856,0.18928645551204681,1,,,,,,,,
,929,0.9733995795249939,17.215839385986328,0.8691039085388184,0.10429569333791733,1,,,,,,,,
