lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,epoch,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch,type_loss_epoch,density_loss_epoch,val_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_density_loss
0.0001,0,,,,,,,,,,,,,,,,
,9,2.3376402854919434,9.771085739135742,1.1209075450897217,1.1767057180404663,0.08005436509847641,0,,,,,,,,,,
,19,2.150376081466675,8.306533813476562,1.0533643960952759,1.0566277503967285,0.08076827973127365,0,,,,,,,,,,
,29,2.0448825359344482,7.754162311553955,1.0068553686141968,0.9976183176040649,0.08081755042076111,0,,,,,,,,,,
,39,1.9903305768966675,8.290403366088867,0.9837053418159485,0.9651995301246643,0.08285145461559296,0,,,,,,,,,,
,49,1.9650239944458008,8.52475643157959,0.9756438732147217,0.9487290382385254,0.08130217343568802,0,,,,,,,,,,
,59,1.9441636800765991,7.68576717376709,0.9651817083358765,0.9374685883522034,0.08302655071020126,0,,,,,,,,,,
,69,2.0222299098968506,6.932516574859619,1.0463923215866089,0.9332080483436584,0.08525875955820084,0,,,,,,,,,,
,79,1.9484546184539795,7.403697490692139,0.987493634223938,0.918023943901062,0.08587406575679779,0,,,,,,,,,,
,89,1.9930484294891357,7.703072547912598,1.0462231636047363,0.9060112237930298,0.08162820339202881,0,,,,,,,,,,
,99,1.912147045135498,6.790613651275635,1.0014597177505493,0.871435284614563,0.07850409299135208,0,,,,,,,,,,
,109,1.8701341152191162,9.470979690551758,1.0052036046981812,0.8267062902450562,0.07644834369421005,0,,,,,,,,,,
,119,1.8773671388626099,6.948375225067139,1.003413200378418,0.8310602903366089,0.08578735589981079,0,,,,,,,,,,
,129,1.887831687927246,7.05974817276001,1.0502287149429321,0.7959587574005127,0.0832885280251503,0,,,,,,,,,,
,139,1.7795177698135376,6.950840473175049,0.9790316224098206,0.7611187100410461,0.07873494178056717,0,,,,,,,,,,
,149,1.857818603515625,5.588884353637695,1.0728884935379028,0.7442831993103027,0.08129377663135529,0,,,,,,,,,,
,159,1.706526279449463,8.200921058654785,1.0057185888290405,0.6588371992111206,0.08394090831279755,0,,,,,,,,,,
,169,1.7147325277328491,5.826836585998535,1.0181200504302979,0.65666663646698,0.07989159971475601,0,,,,,,,,,,
,179,1.7508339881896973,7.760430335998535,1.0401731729507446,0.6694956421852112,0.08233027905225754,0,,,,,,,,,,
,189,1.685058832168579,6.095682621002197,1.0638335943222046,0.5796970725059509,0.08305647224187851,0,,,,,,,,,,
,199,1.62955641746521,7.5266547203063965,1.0165096521377563,0.5711787343025208,0.08373606204986572,0,,,,,,,,,,
,209,1.6291842460632324,6.8156046867370605,1.025766372680664,0.5617238879203796,0.08338777720928192,0,,,,,,,,,,
,219,1.6280654668807983,6.639176368713379,0.93415367603302,0.654062807559967,0.07969795912504196,0,,,,,,,,,,
,229,1.5443214178085327,6.651261806488037,0.9750699400901794,0.5270437002182007,0.08441562205553055,0,,,,,,,,,,
,239,1.6289770603179932,8.157556533813477,1.044480800628662,0.5440198183059692,0.08095292747020721,0,,,,,,,,,,
,249,1.5094529390335083,6.2822723388671875,0.9795050621032715,0.489250510931015,0.08139470964670181,0,,,,,,,,,,
,259,1.460706353187561,5.343483924865723,0.9125587940216064,0.5060988664627075,0.08409728109836578,0,,,,,,,,,,
,269,1.4107956886291504,5.093575477600098,0.9796386957168579,0.39113423228263855,0.08004534989595413,0,,,,,,,,,,
,279,1.3932327032089233,5.075149059295654,0.9816171526908875,0.36855143308639526,0.08612828701734543,0,,,,,,,,,,
,289,1.4904139041900635,6.537500858306885,1.037956714630127,0.4133355915546417,0.07824326306581497,0,,,,,,,,,,
,299,1.4406129121780396,6.30772590637207,1.029152750968933,0.37142646312713623,0.08006736636161804,0,,,,,,,,,,
,309,1.594065546989441,8.284443855285645,1.0360891819000244,0.5163561105728149,0.08324046432971954,0,,,,,,,,,,
,319,1.4810619354248047,6.6558051109313965,0.9660707116127014,0.4742811322212219,0.08142019063234329,0,,,,,,,,,,
,329,1.4395506381988525,5.728590488433838,1.0456691980361938,0.35391682386398315,0.07992929965257645,0,,,,,,,,,,
,339,1.387439489364624,4.711633682250977,1.04215669631958,0.3046336770057678,0.08129845559597015,0,,,,,,,,,,
,349,1.3655171394348145,5.268610000610352,1.0026144981384277,0.32193523645401,0.08193501830101013,0,,,,,,,,,,
,359,1.390031337738037,4.799238681793213,1.076671838760376,0.27203303575515747,0.08265307545661926,0,,,,,,,,,,
